Doc,Obls,Score,Rank
Phreesa,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], [""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company effects a reorganization, consolidates, merges, or to whom it transfers all or substantially all of its properties or assets."", [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors, personal representatives and permitted assigns.', [2], [2]]], 'opposite': []}",1.0
Verastem,"{'unmatchedList1': [[""This Agreement shall inure to the benefit of and be binding upon each of the Executive's and the Company's personal representatives."", [2]]], 'unmatchedList2': [['This Agreement shall inure to the benefit of and be binding upon each of our respective executors, administrators, and heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], [""The Company may assign its rights and obligations under this Agreement without the Executive's consent to any affiliate or to any person or entity with whom the Company effects a reorganization, consolidates with, merges into, or to whom it transfers all or substantially all of its properties or assets."", [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.6,1
Rocket,"{'unmatchedList1': [[""This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of the Executive's and the Company's respective successors, personal representatives and permitted assigns."", [2]]], 'unmatchedList2': [['This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors, executors, administrators, heirs and permitted assigns.', [2]]], 'identical': [['Neither the Executive/you nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], [""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants/Covenant Agreement) without the Executive's/your consent to any affiliate or to any person or entity with whom the Company effects a reorganization, consolidates, merges, or to whom it transfers all or substantially all of its properties or assets."", [1], [1]]], 'opposite': []}",0.5,2
Chiasma,"{'unmatchedList1': [[""This Agreement shall inure to the benefit of and be binding upon each of the Executive's and the Company's respective personal representatives."", [2]]], 'unmatchedList2': [['The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any affiliate at any time.', [1]], ['This Agreement shall inure to the benefit of and be binding upon each of your and its respective executors, administrators, and heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], [""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement/Restrictive Covenant Agreement) without the Executive's/your consent to any person or entity with whom the Company effects a reorganization, consolidates, merges, or to whom it transfers all or substantially all of its properties or assets."", [1], [1]], [""This Agreement shall inure to the benefit of and be binding upon the Executive/you and the Company, and each of the Executive's/your and the Company's/its respective successors and permitted assigns."", [2], [2]]], 'opposite': []}",0.5,2
United Surgical Partners,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [['The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company shall hereafter effect a reorganization, consolidation or merger or in the event the Company transfers all or substantially all of its properties or assets.', [1]], ['This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective executors, administrators, and heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.4,3
Two Contracts,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [['The Company may assign its rights and obligations under this Agreement without the consent of the Executive to any affiliate or in the event that the Company shall after the Effective Date effect a reorganization, consolidate with or merge into, any entity or transfer all or substantially all of its properties or assets to any entity.', [1]], ['This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective executors, administrators, and heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.4,3
Rezolute,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [['The Company may assign its rights under this Agreement without the consent of Executive in the event that the Company shall hereafter effect a reorganization, or consolidate with or merge into any other Person, or transfer all or substantially all of its properties or assets to any other Person.', [1]], ['The Company shall assign its obligations under this Agreement without the consent of Executive in the event that the Company shall hereafter effect a reorganization, or consolidate with or merge into any other Person, or transfer all or substantially all of its properties or assets to any other Person.', [1]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.4,3
Ironwood,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company effects a reorganization, consolidates, merges, or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [[""The Executive's economic rights under this Agreement will automatically be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive."", [1]], ['The Company will assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its stock.', [1]], ['The Company will cause an acquirer of all or substantially all of its assets to assume this Agreement.', [1]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and their respective successors and permitted assigns.', [2], [3]]], 'opposite': []}",0.3333333333333333,4
Abiomed,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [[""The Executive's economic rights hereunder may be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive."", [1]], ['The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its properties, stock, or assets.', [1]], ['This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective executors, administrators, heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.3333333333333333,4
Phio Pharm,"{'unmatchedList1': [[""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", [1]]], 'unmatchedList2': [['The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Executive is transferred to a position with any of the Affiliates.', [1]], ['The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company shall hereafter effect a reorganization, consolidate with, or merge into, any Person or transfer all or substantially all of its properties or assets to any Person.', [1]], ['This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective executors, administrators, and heirs.', [2]]], 'identical': [['Neither the Executive nor the Company may assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other.', [1], [1]], ['This Agreement shall inure to the benefit of and be binding upon the Executive and the Company and their respective successors and permitted assigns.', [2], [2]]], 'opposite': []}",0.3333333333333333,4
