Doc,Obls,Score,Rank
Immunomedics 2,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Executive is prohibited, during employment and for 12 months after termination, from engaging in any business or activity worldwide that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, without prior written approval of the Board.', [1], [1]], [""Executive is not prohibited from employment or engagement after termination by any company or business organization, as long as such activities do not involve work on matters related to the Business of the Company during Executive's employment."", [2], [2]], ['Executive is permitted to own up to 5% of any class of securities of a public company or any entity, and such ownership is not considered competition with the Company.', [3], [3]]], 'opposite': []}",1.0
1 Deerfield,"{'unmatchedList1': [['Executive must not, during employment and for twelve months after termination, without prior written Board approval, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including research, development, testing, manufacture, sale, marketing, or licensing.', [1]]], 'unmatchedList2': [['Executive must not, during employment and for twenty-four months after termination, without prior written Board approval, directly or indirectly engage in the business of providing professional medical services in a primary care clinic setting, including as a provider or management services organization.', [1]]], 'identical': [['Executive is permitted to own up to five percent of any class of securities of a public company or any entity, and such ownership is not considered competition with the Company.', [3], [3]], [""Executive is not prohibited from employment or engagement after termination, provided such activities do not involve work on matters related to the Business of the Company during Executive's employment."", [2], [2]]], 'opposite': []}",0.5,1
Immunomedics 3,"{'unmatchedList1': [['Executive must not, during employment with the Company or any Company subsidiary or affiliate and for twelve months after termination, without prior written approval of the Board, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to research, development, testing, manufacture, sale, marketing, or licensing of the same.', [1]]], 'unmatchedList2': [['Executive must not, during employment with the Company and for twelve months after termination, without prior written approval of the Board, directly or indirectly engage in any business or activity anywhere in the world that directly or indirectly relates to the research, development, testing, manufacture, sale, marketing, or licensing of therapeutic agents, antibody-drug conjugates, or other biopharmaceutical products that would operate via the same target or antigen or would address the same primary patient populations as Therapeutic Agents that Executive is engaged in researching and developing.', [1]], ['The restricted Business includes only the following Targets: Trop-2, CEACAM5, and HLA DR.', [1]]], 'identical': [['Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Company.', [3], [3]], [""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities do not involve work on matters related to the Business."", [2], [2]]], 'opposite': []}",0.4,2
Zeta Global,"{'unmatchedList1': [[""Executive must not, without the prior written approval of the Board, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to the research, development, testing, manufacture, sale, marketing, or licensing of the same, during Executive's employment with the Company or any subsidiary or affiliate and for twelve months after termination."", [1]], [""Executive's employment or engagement after termination is permitted as long as the activities do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", [2]]], 'unmatchedList2': [['Executive must not, without prior disclosure to the Board, engage in any business or activity anywhere in the world that competes with the Company in the business of building and offering digital marketing data management technology to large business to consumer enterprises, during the Employment Period and for twelve months after termination.', [1]], [""Executive's employment or engagement after termination is permitted as long as the activities do not involve work on matters related to the products being developed, manufactured, or marketed by the Company during Executive's employment with the Company."", [2]], ['Executive is permitted to engage in Permitted Outside Activities.', [2]]], 'identical': [['Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and such ownership shall not be considered to be in competition with the Company.', [3], [4]], ['Executive is permitted to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities and such ownership shall not be considered to be in competition with the Company.', [3], [4]]], 'opposite': []}",0.2857142857142857,3
Immunomedics,"{'unmatchedList1': [['Executive must not, during employment and for twelve months after termination, without prior written Board approval, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including research, development, testing, manufacture, sale, marketing, or licensing.', [1]], [""The prohibition does not prevent Executive's post-termination employment or engagement, provided such activities do not involve work on matters related to the Business of the Company during Executive's employment."", [2]]], 'unmatchedList2': [['Executive must not, during employment and for two years after termination, without prior written Board approval, directly or indirectly engage in any business or activity in the United States or Canada that competes with the Employer in the field of therapeutic antibodies for cancer.', [1]], [""The prohibition does not prevent Executive's post-termination employment or engagement, provided such activities do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer during Executive's employment."", [2]]], 'identical': [['Executive is permitted to own up to five percent of any class of securities of a public company or any entity, and such ownership is not considered competition.', [3], [3]]], 'opposite': []}",0.2,4
Tilray,"{'unmatchedList1': [['Executive is prohibited, during employment and for 12 months after termination, from engaging in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including research, development, testing, manufacture, sale, marketing, or licensing, without prior written approval of the Board.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of five percent (5%) of any class of such securities, and such ownership is not considered competition with the Company.', [3]]], 'unmatchedList2': [['Executive is prohibited, during employment and for 12 months after termination, from engaging in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada, without prior written approval of the Board.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of two percent (2%) of any class of such securities, and such ownership is not considered competition with the Company.', [3]]], 'identical': [[""Executive is prohibited, during employment and for 12 months after termination, from engaging in employment or engagement that involves work on matters related to the Business of the Company during Executive's employment with the Company."", [2], [2]]], 'opposite': []}",0.2,4
Tilray 2,"{'unmatchedList1': [['Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including research, development, testing, manufacture, sale, marketing, or licensing.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of five percent (5%) of any class of such securities, and such ownership is not considered competition with the Company.', [3]]], 'unmatchedList2': [['Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of two percent (2%) of any class of such securities, and such ownership is not considered competition with the Company.', [4]]], 'identical': [[""Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in employment or engagement after termination that involves work on matters related to the Business of the Company during Executive's employment."", [2], [3]]], 'opposite': []}",0.2,4
2 from Tilray,"{'unmatchedList1': [['Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in any business or activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to research, development, testing, manufacture, sale, marketing, or licensing.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of five percent (5%) of any class of such securities, and such ownership is not considered competition with the Company.', [3]]], 'unmatchedList2': [['Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada.', [1]], ['Executive is permitted to own securities of a public company or any entity not in excess of two percent (2%) of any class of such securities, and such ownership is not considered competition with the Company.', [3]]], 'identical': [[""Executive must not, during employment and for 12 months after termination, without prior written Board approval, directly or indirectly engage in any capacity in work on matters related to the Business of the Company during Executive's employment with the Company."", [2], [2]]], 'opposite': []}",0.2,4
Auxillium 2,"{'unmatchedList1': [[""Executive must not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to the research, development, testing, manufacture, sale, marketing, or licensing of the same, during Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment."", [1]], [""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", [2]]], 'unmatchedList2': [[""Executive must not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in any geographic place where the Company and or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment, during Executive's employment at the Employer and for a period of one (1) year after termination."", [1]], [""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment."", [2]]], 'identical': [['Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Company/Employer.', [3], [3]]], 'opposite': []}",0.2,4
Auxillium 3,"{'unmatchedList1': [[""Executive must not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to the research, development, testing, manufacture, sale, marketing, or licensing of the same, during Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment."", [1]], [""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities do not involve work on matters related to the Business of the Company during Executive's employment with the Company."", [2]]], 'unmatchedList2': [[""Executive must not, without the prior written approval of the Board, directly or indirectly engage in any business or other activity in any geographic place where the Company and or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment, during Executive's employment at the Employer and for a period of one (1) year after termination."", [1]], [""The prohibition on competition does not prevent Executive's employment or engagement after termination by any company or business organization, as long as the activities do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment."", [2]]], 'identical': [['Executive is permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities, and such ownership shall not be considered to be in competition with the Company/Employer.', [3], [3]]], 'opposite': []}",0.2,4
