Doc,Obls,Score,Rank
Adaptive Biotech 2,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Neither party is responsible or liable for delays in performing its obligations (excluding Tenant’s obligation to pay Rent) when the delay is caused by, related to, or arises out of the listed Force Majeure events beyond the parties’ reasonable control.', [1], [1]]], 'opposite': []}",1.0
Adaptive Biotech,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Neither party (Landlord nor Tenant) is liable for delays in performing its obligations under the agreement when the delay is caused by or arises out of Force Majeure events beyond its reasonable control, except for the obligation to pay Rent.', [1], [1]]], 'opposite': []}",1.0,1
Enanta,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from the Force Majeure liability/delay excuse.', [1]]], 'unmatchedList2': [['Tenant’s obligation to timely pay Rent is not under any circumstance delayed or excused by Force Majeure.', [1]], ['Either party’s obligation to make any other payment due under the agreement is not under any circumstance delayed or excused by Force Majeure.', [1]]], 'identical': [['Neither party is responsible or liable for delays in performing its obligations under the agreement when the delay is caused by Force Majeure events beyond the party’s reasonable control.', [1], [1]]], 'opposite': []}",0.25,2
Forma,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from Force Majeure relief (not covered by the no-liability-for-delay provision).', [1]]], 'unmatchedList2': [['Tenant’s obligation to timely pay Rent or any other payment due under the agreement shall not under any circumstance be delayed or excused due to Force Majeure.', [1]], ['Force Majeure relief (no responsibility or liability for delay) expressly includes, without limitation, any obligation (if any) to give notice pursuant to the Work Letter.', [1]]], 'identical': [['Landlord and Tenant (neither party) are not responsible or liable for delays in performing their obligations under the agreement when the delay is caused by Force Majeure events beyond their reasonable control.', [1], [1]]], 'opposite': []}",0.25,2
Biocardia,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from Force Majeure relief (delay in that obligation is not excused).', [1]], ['Neither party is not responsible or liable for delays in performing its obligations when caused by Force Majeure events beyond their reasonable control (applies to Tenant as well as Landlord).', [1]], ['Force Majeure events expressly include sinkholes or subsidence.', [1]]], 'unmatchedList2': [], 'identical': [['Landlord is not responsible or liable for delays in performing its obligations when caused by Force Majeure events beyond its reasonable control.', [1], [1]]], 'opposite': []}",0.25,2
Sensei,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from the Force Majeure non-liability for delays.', [1]], ['Tenant is not responsible or liable for delays in performing its obligations (other than Tenant’s obligation to pay Rent) when caused by Force Majeure events beyond Tenant’s reasonable control.', [1]], ['Force Majeure events include sinkholes or subsidence.', [1]]], 'unmatchedList2': [], 'identical': [['Landlord is not responsible or liable for delays in performing its obligations when caused by Force Majeure events beyond Landlord’s reasonable control.', [1], [1]]], 'opposite': []}",0.25,2
Beam,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from Force Majeure relief (Tenant remains responsible for delay/nonperformance of paying Rent).', [1]]], 'unmatchedList2': [['Payment of Rent and any other amounts payable under the Lease are excluded from Force Majeure relief (parties remain responsible for delay/nonperformance of such payments).', [1]], ['Local, regional or national epidemic or pandemic (including COVID-19) is included as a Force Majeure cause.', [1]], ['Financial disability or hardship, regardless of cause, never constitutes a Force Majeure event.', [2]]], 'identical': [['Neither party (Landlord nor Tenant) is responsible or liable for delays in performing its obligations when the delay is caused by Force Majeure events beyond the party’s reasonable control (as listed).', [1], [1]]], 'opposite': []}",0.2,3
Vaxcyte,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from Force Majeure relief (no excuse for delays in paying Rent).', [1]]], 'unmatchedList2': [['Payment of Rent and any other amounts payable under the Lease by Landlord or Tenant are excluded from Force Majeure relief (no excuse for delays in such payments).', [1]], ['Local, regional, or national epidemic or pandemic is included as a Force Majeure cause/event.', [1]], ['Financial disability or hardship shall not constitute a Force Majeure event.', [2]]], 'identical': [['Neither party is responsible or liable for delays in performing its obligations when the delay is caused by Force Majeure events beyond their reasonable control (as enumerated).', [1], [1]]], 'opposite': []}",0.2,3
Genvec,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from the Force Majeure liability relief (Force Majeure does not apply to Tenant’s obligation to pay Rent).', [1]], ['Force Majeure includes sinkholes or subsidence as a covered cause/event.', [1]]], 'unmatchedList2': [['Force Majeure events must be beyond the reasonable control of Landlord (not both parties) to qualify under this definition.', [1]], ['Force Majeure does not excuse Tenant or Landlord from performing any monetary obligation under the Lease.', [1]]], 'identical': [['Neither party is responsible or liable for delays in performance of its obligations under the agreement when caused by Force Majeure events (acts of God, labor disputes, embargoes, quarantines, weather, disasters, inability to obtain labor/materials/utilities, governmental actions, emergencies, permit delays, hostile actions/terrorism/insurrection/riots/civil disturbance, fire/casualty, or other events beyond reasonable control).', [1], [1]]], 'opposite': []}",0.2,3
Revolution,"{'unmatchedList1': [['Tenant’s obligation to pay Rent is excluded from the Force Majeure no-liability/no-responsibility protection (i.e., Tenant remains responsible for delay/nonperformance of Rent payment despite Force Majeure).', [1]], ['Force Majeure events expressly include sinkholes or subsidence.', [1]], ['Force Majeure events may be beyond either party’s reasonable control (applies to both parties, not just Landlord).', [1]]], 'unmatchedList2': [['Force Majeure no-liability/no-responsibility protection applies only to Landlord (not both parties).', [1]]], 'identical': [['Landlord is not responsible or liable for delays in performing its obligations when the delays are caused by, related to, or arise out of the listed Force Majeure events beyond Landlord’s reasonable control.', [1], [1]]], 'opposite': []}",0.2,3
