Phreesa,"[""Neither the Executive nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", ""This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of the Executive's and the Company's respective successors, personal representatives and permitted assigns.""]"
United Surgical Partners,"[""Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company effects a reorganization, consolidation, or merger, or in the event the Company transfers all or substantially all of its properties or assets."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective successors, executors, administrators, heirs, and permitted assigns.""]"
Rocket,"[""Neither you nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets."", ""This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors, executors, administrators, heirs and permitted assigns.""]"
Chiasma,"[""Neither you nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any affiliate at any time."", ""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into."", ""The Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any person or entity to whom it transfers all or substantially all of its properties or assets."", ""This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors, executors, administrators, heirs and permitted assigns.""]"
Ironwood,"[""Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Executive's economic rights under this Agreement will automatically be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive."", ""The Company will assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its stock."", ""The Company will cause an acquirer of all or substantially all of its assets to assume this Agreement."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns.""]"
Alibero,"[""Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive to one of its Affiliates."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company or Parent effects a reorganization with, consolidates with, or merges into, an Affiliate or any Person, or transfers or has transferred all or substantially all of its properties, outstanding stock, or assets to an Affiliate or any Person."", ""In the event that all of the Company's rights and obligations under this Agreement are assigned pursuant to this Section 15, each reference to Company in the Agreement shall be deemed from and after such assignment to be a reference to the assignee."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns.""]"
Verastem,"[""The Executive may not assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the Company."", ""The Company may not assign this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the Executive."", ""The Company may assign its rights and obligations under this Agreement without the Executive's consent to one of its Affiliates."", ""The Company may assign its rights and obligations under this Agreement without the Executive's consent to any Person with whom the Company shall hereafter affect a reorganization, consolidate with, or merge into."", ""The Company may assign its rights and obligations under this Agreement without the Executive's consent to any Person to whom it transfers all or substantially all of its properties or assets."", ""This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of their respective successors, executors, administrators, heirs and permitted assigns.""]"
Abiomed,"[""Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Executive's economic rights under this Agreement may be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its properties, stock, or assets."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns.""]"
Two Contracts,"[""Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive to any affiliate."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company effects a reorganization after the Effective Date."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company consolidates with or merges into any entity after the Effective Date."", ""The Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company transfers all or substantially all of its properties or assets to any entity after the Effective Date."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective successors, executors, administrators, heirs and permitted assigns.""]"
Rezolute,"[""Neither the Company nor Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other."", ""The Company may assign its rights and shall assign its obligations under this Agreement without the consent of Executive in the event that the Company effects a reorganization, consolidates with or merges into any other Person, or transfers all or substantially all of its properties or assets to any other Person."", ""This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns.""]"
