Adaptive Biotech 2,"[""Neither party shall be held responsible or liable for delays in the performance of its obligations under the agreement when such delays are caused by, related to, or arising out of Force Majeure events, except for Tenant's obligation to pay Rent.""]"
Enanta,"[""Tenant's obligation to timely pay Rent shall not be delayed or excused under any circumstance, including Force Majeure events."", ""Either party's obligation to make any other payment due under the agreement shall not be delayed or excused under any circumstance, including Force Majeure events."", ""Neither Landlord nor Tenant shall be responsible, liable, or in default for delays in the performance of obligations (other than payment obligations) when such delay is caused by Force Majeure events.""]"
Forma,"[""Tenant's obligation to timely pay Rent or any other payment due under the agreement shall not under any circumstance be delayed or excused."", ""Neither Landlord nor Tenant shall be responsible or liable for delays in the performance of their obligations under the agreement (including the obligation, if any, to give any notice pursuant to the Work Letter) when such delay is caused by Force Majeure.""]"
NextCure,"[""Neither party shall be responsible or liable for delays in the performance of its obligations under the agreement when such delays are caused by, related to, or arising out of Force Majeure events as defined in the clause."", ""Force Majeure events include acts of God, strikes, lockouts, other labor disputes, embargoes, quarantines, weather, national, regional, or focal disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs, failure of or inability to obtain utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord or Tenant."", ""For purposes of this clause only, 'reasonable costs' means costs that are not exorbitant or commercially excessive."", ""Force Majeure shall not excuse Tenant or Landlord from performing any monetary obligation under the Lease.""]"
Beam,"[""Neither Landlord nor Tenant shall be held responsible or liable for delays in the performance of its obligations under the Lease when such delays are caused by, related to, or arising out of Force Majeure events, except for the payment of Rent and any other amounts payable under the Lease."", ""The payment of Rent and any other amounts payable under the Lease is not excused by Force Majeure events."", ""Financial disability or hardship, regardless of the cause, shall never constitute a Force Majeure event.""]"
Adaptive Biotech,"[""Neither Landlord nor Tenant shall be held responsible or liable for delays in the performance of its obligations under the agreement when such delays are caused by, related to, or arising out of Force Majeure events, except for the payment of Rent.""]"
Vaxcyte,"[""Landlord and Tenant are not responsible or liable for delays in the performance of their obligations under the Lease when such delays are caused by, related to, or arising out of Force Majeure events, except for the payment of Rent and any other amounts payable under the Lease by Landlord or Tenant."", ""Payment of Rent and any other amounts payable under the Lease by Landlord or Tenant is not excused by Force Majeure events."", ""Financial disability or hardship does not constitute a Force Majeure event.""]"
Genvec,"[""Neither Landlord nor Tenant shall be responsible or liable for delays in the performance of its obligations under the Lease when such delays are caused by, related to, or arising out of Force Majeure events as defined in the clause."", ""Force Majeure shall not excuse Tenant or Landlord from performing any monetary obligation under the Lease.""]"
Biocardia,"[""Landlord shall not be held responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of Force Majeure events.""]"
Sensei,"[""Landlord shall not be responsible or liable for delays in the performance of its obligations under the agreement when such delays are caused by, related to, or arising out of Force Majeure events as defined in the clause.""]"
Revolution,"[""Landlord shall not be responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of Force Majeure events.""]"
