Doc,Obls,Score,Rank
MassRoots,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Each party MUST do and perform, or cause to be done and performed, all further acts and things that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement and consummate the transactions contemplated by it.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments and documents that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement and consummate the transactions contemplated by it.', [1], [1]], ['Each party MUST vote for an increase in the Authorized Shares (as included within the further assurances requested to carry out the intent/purposes of the Agreement and consummate the contemplated transactions).', [1], [1]]], 'opposite': []}",1.0
Landstar,"{'unmatchedList1': [['Each party MUST vote for an increase in the Authorized Shares (as part of further assurances).', [1]]], 'unmatchedList2': [], 'identical': [['Each party MUST do and perform, or cause to be done and performed, further acts and things reasonably requested by any other party, in order to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments, and documents reasonably requested by any other party, in order to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions.', [1], [1]]], 'opposite': []}",0.6666666666666666,1
4 from First Advantage,"{'unmatchedList1': [['Each party must do and perform, or cause to be done and performed, further acts and things as any other party reasonably requests, to accomplish the consummation of the transactions contemplated by the Agreement.', [1]], ['Each party must vote for an increase in the Authorized Shares (as part of further assurances).', [1]]], 'unmatchedList2': [], 'identical': [['Each party must do and perform, or cause to be done and performed, further acts and things as another party reasonably requests, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]], ['Each party must execute and deliver other agreements, certificates, instruments, and documents as another party reasonably requests, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]]], 'opposite': []}",0.5,2
2 from GenCo,"{'unmatchedList1': [['Each party MUST vote for an increase in the Authorized Shares (as included within further assurances obligations).', [1]]], 'unmatchedList2': [['Further assurances requests may be made to carry out the purposes of the Plan (in addition to the Award Agreement).', [1]]], 'identical': [['Each party MUST do and perform (or cause to be done and performed) further acts and things as another/either party may reasonably request to carry out the intent and accomplish the purposes of the agreement and consummate the contemplated transactions.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments, and documents as another/either party may reasonably request to carry out the intent and accomplish the purposes of the agreement and consummate the contemplated transactions.', [1], [1]]], 'opposite': []}",0.5,2
4 from Albany,"{'unmatchedList1': [['Each party MUST vote for an increase in the Authorized Shares (as an included example of further assurances).', [1]]], 'unmatchedList2': [['Further assurances MUST be performed in order to carry out the intent and accomplish the purposes of this Award Agreement and the Plan (additional stated purposes).', [1]]], 'identical': [['Each party MUST do and perform (or cause to be done and performed) further acts and things as any other party may reasonably request, in order to carry out the intent and accomplish the purposes of the agreement and to consummate the contemplated transactions.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments, and documents as any other party may reasonably request, in order to carry out the intent and accomplish the purposes of the agreement and to consummate the contemplated transactions.', [1], [1]]], 'opposite': []}",0.5,2
2 from GrubHub,"{'unmatchedList1': [['Each party MUST vote for an increase in the Authorized Shares (as part of further assurances obligations).', [1]]], 'unmatchedList2': [['Each party MUST provide further assurances as reasonably requested to carry out the purposes of the Agreement and the Plan (in addition to the Agreement).', [1]]], 'identical': [['Each party MUST do and perform, or cause to be done and performed, further acts and things reasonably requested by the other party to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments, and documents reasonably requested by the other party to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions.', [1], [1]]], 'opposite': []}",0.5,2
6 from 3,"{'unmatchedList1': [['Further-assurances obligations include voting for an increase in the Authorized Shares', [1]]], 'unmatchedList2': [['Additional documents requested/executed under further assurances MUST NOT contain terms or conditions inconsistent with the terms and conditions of this Agreement', [1]], ['Further-assurances obligations are tied to carrying out the purposes of this Agreement and the Plan (in addition to this Agreement) and consummation of the transactions contemplated thereunder', [1]]], 'identical': [['Each party MUST do and perform, or cause to be done and performed, further acts and things as another party reasonably requests to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments and documents as another party reasonably requests to carry out the intent and accomplish the purposes of the Agreement and consummate the contemplated transactions', [1], [1]]], 'opposite': []}",0.4,3
5 from Herbalife,"{'unmatchedList1': [['Each party MUST do further acts/things and execute/deliver documents as reasonably requested in order to accomplish the consummation of the transactions contemplated by this Agreement.', [1]], ['Each party MUST vote for an increase in the Authorized Shares.', [1]]], 'unmatchedList2': [['Each party hereto MUST cooperate with each other party.', [1]], ['Each party MUST do further acts/things and execute/deliver documents as reasonably requested in order to carry out the intent and accomplish the purposes of this Agreement and the Plan.', [1]]], 'identical': [['Each party MUST do and perform, or cause to be done and performed, all further acts and things that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]], ['Each party MUST execute and deliver all other agreements, certificates, instruments, and documents that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]]], 'opposite': []}",0.3333333333333333,4
4 from 2,"{'unmatchedList1': [['Each party MUST do and perform, or cause to be done and performed, further acts and things as reasonably requested, in order to accomplish the consummation of the transactions contemplated by this Agreement.', [1]], ['Each party MUST (as a further assurance) vote for an increase in the Authorized Shares.', [1]]], 'unmatchedList2': [['Each party hereto MUST cooperate with each other party.', [1]], ['Each party MUST do and perform, or cause to be done and performed, all further acts and things that any other party hereto reasonably may request, in order to carry out the intent and accomplish the purposes of the Plan.', [1]], ['Each party MUST execute and deliver all other agreements, certificates, instruments, and documents that any other party hereto reasonably may request, in order to carry out the intent and accomplish the purposes of the Plan.', [1]]], 'identical': [['Each party MUST do and perform, or cause to be done and performed, all further acts and things that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]], ['Each party MUST execute and deliver other agreements, certificates, instruments, and documents that any other party may reasonably request, in order to carry out the intent and accomplish the purposes of this Agreement.', [1], [1]]], 'opposite': []}",0.2857142857142857,5
2 from 8i,"{'unmatchedList1': [['Each party MUST do/perform (or cause) and execute/deliver further items as any other party may reasonably request.', [1]], ['Further assurances include voting for an increase in the Authorized Shares.', [1]]], 'unmatchedList2': [[""Each party MUST do/perform (or cause) and execute/deliver further items as may reasonably be considered within the scope of such party's obligations hereunder."", [1]]], 'identical': [['Each party MUST do and perform, or cause to be done and performed, further acts and things, and MUST execute and deliver other agreements/certificates/instruments/documents, to carry out the intent/purposes of the Agreement and consummate the contemplated transactions.', [1], [1]]], 'opposite': []}",0.25,6
