Doc,Obls,Score,Rank
Eagle Pharma,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['You and the Company MUST hold the provisions of this Agreement in the strictest confidence and MUST NOT publicize or disclose them in any manner whatsoever, subject to the stated exceptions.', [1], [1]], ['You MAY disclose this Agreement to your immediate family.', [1], [1]], ['The parties MAY disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors.', [1], [1]], ['The Company MAY disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1], [1]], ['The parties MAY disclose this Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law.', [1], [1]], ['You MUST NOT disclose the terms of this Agreement to any current or former Company employee.', [2], [2]], ['Nothing in this Agreement shall limit your right to voluntarily communicate with specified government agencies (EEOC, USDOL, NLRB, SEC, other federal or similar state/local agencies).', [3], [3]], ['Nothing in this Agreement shall limit your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.', [3], [3]]], 'opposite': []}",1.0
Array,"{'unmatchedList1': [['You must not disclose the terms of this Agreement to any current or former Company employee', [2]], ['Nothing in this Agreement limits your right to voluntarily communicate with specified government agencies (EEOC, DOL, NLRB, SEC, other federal or similar state/local agencies)', [3]], ['Nothing in this Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act', [3]]], 'unmatchedList2': [['Employee must not disclose the existence or terms of this Agreement to any current or former Array employees, consultants, or independent contractors', [2]]], 'identical': [['Employee/you and the Company/Array must hold the provisions of the Agreement in the strictest confidence and must not publicize or disclose them in any manner whatsoever, subject to the stated carve-outs', [1], [1]], ['Employee/you may disclose the Agreement to their immediate family', [1], [1]], ['The parties may disclose the Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors', [1], [1]], ['The Company/Array may disclose the Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements', [1], [1]], ['The parties may disclose the Agreement insofar as such disclosure may be necessary to enforce its terms or as otherwise required by law', [1], [1]]], 'opposite': []}",0.5555555555555556,1
2 from 2 (2),"{'unmatchedList1': [['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (i.e., includes the Company’s disclosure right)', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements', [1]], ['Nothing in this Agreement limits your right to voluntarily communicate with specified government agencies (EEOC, DOL, NLRB, SEC, other federal or similar state/local agencies)', [3]], ['Nothing in this Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the NLRA', [3]]], 'unmatchedList2': [['You must not disclose the terms of this Agreement to any current or former Company independent contractor', [2]], ['Notwithstanding the preceding sentences in this paragraph, during the Consulting Period, you are permitted to inform Company employees and/or third parties that you are engaged as a consultant for the Company', [3]]], 'identical': [['You and the Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever, subject to the stated exceptions', [1], [1]], ['You may disclose this Agreement to your immediate family', [1], [1]], ['You may disclose this Agreement in confidence to your attorneys, accountants, auditors, tax preparers, and financial advisors', [1], [1]], ['You may disclose this Agreement insofar as necessary to enforce its terms or as otherwise required by law', [1], [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee', [2], [2]]], 'opposite': []}",0.45454545454545453,2
Adagio,"{'unmatchedList1': [['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (i.e., includes Company and each party’s respective advisors, not only yours).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms.', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]]], 'unmatchedList2': [[""You must not disparage the Company or the Company's attorneys, directors, managers, partners, employees, agents and affiliates in any manner likely to be harmful to them or their business or reputations, except you may respond accurately and fully when required by legal process."", [2]], ['By no later than the Effective Date, you must delete or otherwise remove any and all disparaging public comments or statements you made prior to the Effective Date about or relating to the Company.', [3]], ['You must cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company, including orderly transfer of work and institutional knowledge, by making yourself reasonably available during regular business hours.', [5]]], 'identical': [['You and the Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever, subject to the listed carve-outs.', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor(s).', [1], [1]], ['You may disclose this Agreement insofar as such disclosure may be required by law.', [1], [1]], ['Nothing in this Agreement limits your right to voluntarily communicate with specified government agencies or to discuss terms and conditions of employment with others to the extent expressly permitted by Section 7 of the NLRA.', [3], [1, 2, 4]]], 'opposite': []}",0.4166666666666667,3
Heat Biologics,"{'unmatchedList1': [['The Company must hold the provisions of this Agreement in strictest confidence.', [1]], ['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (i.e., applies to both parties, not only you).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms.', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]], ['Nothing in this Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission.', [3]]], 'unmatchedList2': [['The fact that the Parties have reached a mutual agreement to conclude their relationship is not confidential information subject to this confidentiality provision.', [3]], ['The official Separation Date agreed upon is not confidential information subject to this confidentiality provision.', [3]]], 'identical': [['You must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated carve-outs).', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor.', [1], [1]], ['You may disclose this Agreement insofar as such disclosure may be required by law.', [1], [1]], ['Nothing in this Agreement limits your right to communicate with specified government agencies regarding your employment (and/or its terms) or to discuss terms and conditions of employment with others to the extent expressly permitted by Section 7 of the NLRA.', [3], [2]]], 'opposite': []}",0.38461538461538464,4
Newlink,"{'unmatchedList1': [['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (i.e., both sides, not only you).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms (in addition to disclosures required by law).', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]], ['Nothing in this Agreement shall limit your right to voluntarily communicate with specified government agencies (EEOC, DOL, NLRB, SEC, other federal agencies, or similar state/local agencies).', [3]], ['Nothing in this Agreement shall limit your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.', [3]]], 'unmatchedList2': [['Nothing herein shall alter any corporate or other reporting right or obligations applicable to the Company.', [2]], ['You may disclose this Agreement to your immediate family only if the disclosure is in confidence.', [1]]], 'identical': [['You and the Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated exceptions).', [1], [1]], ['You may disclose this Agreement in confidence to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney/accountant/auditor/tax preparer/financial advisor.', [1], [1]], ['You may disclose this Agreement insofar as such disclosure is required by law.', [1], [1]]], 'opposite': []}",0.3333333333333333,5
3 from Everbridge,"{'unmatchedList1': [['The Company must hold the provisions of this Agreement in strictest confidence.', [1]], ['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (each party for its own advisors).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement to the extent necessary to enforce its terms.', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]], ['Nothing in this Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission.', [3]]], 'unmatchedList2': [['You may disclose this Agreement insofar as such disclosure may be required by law.', [1]], [""You must not disparage the Company or the Company's attorneys, directors, managers, partners, employees, agents, and affiliates in any manner likely to be harmful to them or their business or reputations."", [3]], ['You must respond accurately and fully to any question, inquiry, or request for information when required by legal process.', [3]], ['This Agreement does not constitute an admission by the Company of any wrongful action or violation of law or rights.', [5]]], 'identical': [['You must hold the provisions of this Agreement in strictest confidence and not publicize or disclose them in any manner whatsoever.', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor.', [1], [1]], ['Nothing in this Agreement limits your right to communicate with the Equal Employment Opportunity Commission, U.S. Department of Labor, the National Labor Relations Board, or other federal or similar state/local agencies.', [3], [2]], ['Nothing in this Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.', [3], [2]]], 'opposite': []}",0.3333333333333333,5
2 from Eliem,"{'unmatchedList1': [['The Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated carve-outs).', [1]], ['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors.', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['Nothing in this Agreement shall limit your right to voluntarily communicate with the Equal Employment Opportunity Commission, United States Department of Labor, the National Labor Relations Board, the Securities and Exchange Commission, other federal government agency or similar state or local agency.', [3]], ['Nothing in this Agreement shall limit your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.', [3]]], 'unmatchedList2': [['You may disclose this Agreement in confidence to your attorneys, accountants, tax preparers and financial advisors.', [1]], ['You may make such statements and disclosures as set forth in the section of this Agreement entitled ""Protected Rights.""', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee or independent contractor.', [2]], ['Nothing in this Agreement prevents you from discussing or disclosing information about unlawful acts in the workplace, such as harassment, discrimination, retaliation, or any other conduct that you have reason to believe is unlawful.', [3]]], 'identical': [['You must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated carve-outs).', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement insofar as necessary to enforce its terms or as otherwise required by law.', [1], [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2], [2]]], 'opposite': []}",0.3076923076923077,6
Proteostatus,"{'unmatchedList1': [['The Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated carve-outs).', [1]], ['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (covers both parties and each party’s respective advisors).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms.', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]]], 'unmatchedList2': [['You may disclose this Agreement insofar as such disclosure may be required by law.', [1]], [""You must not disparage the Company or the Company's attorneys, directors, managers, partners, employees, agents and affiliates in any manner likely to be harmful to them or their business, business reputation or personal reputation."", [3]], ['You may respond accurately and fully to any question, inquiry or request for information when required by legal process (carve-out from non-disparagement).', [3]], ['During the time that you are receiving payments under this Agreement, you must cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company, including making yourself reasonably available during regular business hours.', [5]]], 'identical': [['You must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated carve-outs).', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor.', [1], [1]], ['Nothing in this Agreement limits your right to voluntarily communicate with the EEOC, U.S. Department of Labor, NLRB, SEC, other federal or similar state/local agencies, or to discuss terms and conditions of employment to the extent expressly permitted by NLRA Section 7.', [3], [2]]], 'opposite': []}",0.3076923076923077,6
Verrica,"{'unmatchedList1': [['The Company must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated exceptions).', [1]], ['The parties may disclose this Agreement in confidence to their respective attorneys, accountants, auditors, tax preparers, and financial advisors (i.e., mutual/each-party permission).', [1]], ['The Company may disclose this Agreement as necessary to fulfill standard or legally required corporate reporting or disclosure requirements.', [1]], ['The parties may disclose this Agreement insofar as disclosure may be necessary to enforce its terms.', [1]], ['You must not disclose the terms of this Agreement to any current or former Company employee.', [2]], ['Nothing in this Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission.', [3]]], 'unmatchedList2': [['You may disclose this Agreement insofar as such disclosure may be required by law (permission framed as required-by-law only).', [1]], [""You and the Company must not disparage each other or the other's attorneys, directors, managers, partners, employees, agents, and affiliates in any manner likely to be harmful to them or their business/business reputation/personal reputation."", [3]], ['You and the Company must respond accurately and fully to any question, inquiry or request for information when required by legal process.', [3]], [""For purposes of the non-disparagement section, the Company's non-disparagement obligations apply only to the senior management team and the members of the Board of Directors."", [4]], ['This Agreement does not constitute an admission by you or by the Company of any wrongful action or violation of law/rights.', [6]], ['Nothing in this Agreement limits your right to voluntarily communicate with the Equal Employment Opportunity Commission, the United States Department of Labor, the National Labor Relations Board, other federal (or similar state/local) agencies, or to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act (duplicate statement).', [5]]], 'identical': [['You must hold the provisions of this Agreement in strictest confidence and must not publicize or disclose them in any manner whatsoever (subject to stated exceptions).', [1], [1]], ['You may disclose this Agreement to your immediate family.', [1], [1]], ['You may disclose this Agreement in confidence to your attorney, accountant, auditor, tax preparer, and financial advisor.', [1], [1]], ['Nothing in this Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.', [3], [2]], ['Nothing in this Agreement limits your right to communicate/discuss your employment with the Equal Employment Opportunity Commission, the United States Department of Labor, the National Labor Relations Board, and other federal (or similar state/local) agencies.', [3], [2]]], 'opposite': []}",0.29411764705882354,7
