Eagle Pharma,"[""You and the Company must hold the provisions of the Agreement in the strictest confidence."", ""You and the Company must not publicize the provisions of the Agreement in any manner whatsoever."", ""You and the Company must not disclose the provisions of the Agreement in any manner whatsoever."", ""You may disclose the Agreement to your immediate family."", ""The parties may disclose the Agreement in confidence to their respective attorneys."", ""The parties may disclose the Agreement in confidence to their respective accountants."", ""The parties may disclose the Agreement in confidence to their respective auditors."", ""The parties may disclose the Agreement in confidence to their respective tax preparers."", ""The parties may disclose the Agreement in confidence to their respective financial advisors."", ""The Company may disclose the Agreement as necessary to fulfill standard corporate reporting requirements."", ""The Company may disclose the Agreement as necessary to fulfill legally required corporate reporting requirements."", ""The Company may disclose the Agreement as necessary to fulfill standard corporate disclosure requirements."", ""The Company may disclose the Agreement as necessary to fulfill legally required corporate disclosure requirements."", ""The parties may disclose the Agreement insofar as such disclosure may be necessary to enforce the Agreement\u2019s terms."", ""The parties may disclose the Agreement insofar as such disclosure may be required by law."", ""You agree not to disclose the terms of the Agreement to any current Company employee."", ""You agree not to disclose the terms of the Agreement to any former Company employee."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Equal Employment Opportunity Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with the United States Department of Labor."", ""Nothing in the Agreement limits your right to voluntarily communicate with the National Labor Relations Board."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with another federal government agency."", ""Nothing in the Agreement limits your right to voluntarily communicate with a similar state or local agency."", ""Nothing in the Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act.""]"
Newlink,"[""You must hold the provisions of this Agreement in strictest confidence."", ""You must not publicize the provisions of this Agreement in any manner whatsoever."", ""You must not disclose the provisions of this Agreement in any manner whatsoever."", ""You may disclose this Agreement in confidence to your immediate family."", ""You may disclose this Agreement in confidence to your attorney."", ""You may disclose this Agreement in confidence to your accountant."", ""You may disclose this Agreement in confidence to your auditor."", ""You may disclose this Agreement in confidence to your tax preparer."", ""You may disclose this Agreement in confidence to your financial advisor."", ""You may disclose this Agreement insofar as such disclosure may be required by law."", ""Nothing in this clause alters any corporate or other reporting right applicable to the Company."", ""Nothing in this clause alters any corporate or other reporting obligation applicable to the Company.""]"
2 from Eliem,"[""You must hold the provisions of this Agreement in the strictest confidence."", ""You must not publicize the provisions of this Agreement."", ""You must not disclose the provisions of this Agreement in any manner whatsoever."", ""You may disclose this Agreement in confidence to your immediate family."", ""You may disclose this Agreement in confidence to your attorneys."", ""You may disclose this Agreement in confidence to your accountants."", ""You may disclose this Agreement in confidence to your tax preparers."", ""You may disclose this Agreement in confidence to your financial advisors."", ""You may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms."", ""You may disclose this Agreement insofar as such disclosure may be required by law."", ""You may make the statements and disclosures set forth in the section of this Agreement entitled \""Protected Rights.\"""", ""You agree not to disclose the terms of this Agreement to any current Company employee."", ""You agree not to disclose the terms of this Agreement to any former Company employee."", ""You agree not to disclose the terms of this Agreement to any Company independent contractor."", ""You agree not to disclose the terms of this Agreement to any former Company independent contractor."", ""Nothing in this Agreement prevents you from discussing information about unlawful acts in the workplace, such as harassment, discrimination, retaliation, or any other conduct that you have reason to believe is unlawful."", ""Nothing in this Agreement prevents you from disclosing information about unlawful acts in the workplace, such as harassment, discrimination, retaliation, or any other conduct that you have reason to believe is unlawful.""]"
Biocept,"[""You must hold the provisions of this Agreement in strictest confidence."", ""You must not publicize the provisions of this Agreement in any manner whatsoever."", ""You must not disclose the provisions of this Agreement in any manner whatsoever."", ""You may disclose this Agreement in confidence to your immediate family."", ""You may disclose this Agreement in confidence to your creditors."", ""You may disclose this Agreement in confidence to your attorneys."", ""You may disclose this Agreement in confidence to your accountants."", ""You may disclose this Agreement in confidence to your tax preparers."", ""You may disclose this Agreement in confidence to your financial advisors."", ""You may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms."", ""You may disclose this Agreement as otherwise required by law."", ""You may make such statements and disclosures as set forth in the section of this Agreement entitled \""Protected Rights.\"""", ""You agree not to disclose the terms of this Agreement to any current Company employee."", ""You agree not to disclose the terms of this Agreement to any former Company employee."", ""You agree not to disclose the terms of this Agreement to any current Company independent contractor."", ""You agree not to disclose the terms of this Agreement to any former Company independent contractor.""]"
Mirum,"[""You must hold the provisions of this Agreement in the strictest confidence."", ""You must not publicize the provisions of this Agreement."", ""You must not disclose the provisions of this Agreement in any manner whatsoever."", ""You may disclose this Agreement in confidence to your immediate family."", ""You may disclose this Agreement in confidence to your attorneys."", ""You may disclose this Agreement in confidence to your accountants."", ""You may disclose this Agreement in confidence to your tax preparers."", ""You may disclose this Agreement in confidence to your financial advisors."", ""You may disclose this Agreement insofar as such disclosure may be necessary to enforce its terms."", ""You may disclose this Agreement insofar as such disclosure may be required by law."", ""You may make statements and disclosures as set forth in the section of this Agreement entitled \""Protected Rights.\"""", ""You agree not to disclose the terms of this Agreement to any current Company employee."", ""You agree not to disclose the terms of this Agreement to any former Company employee."", ""You agree not to disclose the terms of this Agreement to any Company independent contractor."", ""You agree not to disclose the terms of this Agreement to any former Company independent contractor.""]"
Array,"[""Employee and Array shall hold the provisions of the Agreement in the strictest confidence."", ""Employee and Array shall not publicize the provisions of the Agreement in any manner whatsoever."", ""Employee and Array shall not disclose the provisions of the Agreement in any manner whatsoever."", ""Employee may disclose the Agreement to his immediate family."", ""The parties may disclose the Agreement in confidence to their respective attorneys."", ""The parties may disclose the Agreement in confidence to their respective accountants."", ""The parties may disclose the Agreement in confidence to their respective auditors."", ""The parties may disclose the Agreement in confidence to their respective tax preparers."", ""The parties may disclose the Agreement in confidence to their respective financial advisors."", ""Array may disclose the Agreement as necessary to fulfill standard corporate reporting requirements."", ""Array may disclose the Agreement as necessary to fulfill legally required corporate reporting requirements."", ""Array may disclose the Agreement as necessary to fulfill standard corporate disclosure requirements."", ""Array may disclose the Agreement as necessary to fulfill legally required corporate disclosure requirements."", ""The parties may disclose the Agreement insofar as such disclosure may be necessary to enforce the Agreement\u2019s terms."", ""The parties may disclose the Agreement as otherwise required by law."", ""Employee agrees not to disclose the existence of the Agreement to any current Array employees."", ""Employee agrees not to disclose the terms of the Agreement to any current Array employees."", ""Employee agrees not to disclose the existence of the Agreement to any former Array employees."", ""Employee agrees not to disclose the terms of the Agreement to any former Array employees."", ""Employee agrees not to disclose the existence of the Agreement to any Array consultants."", ""Employee agrees not to disclose the terms of the Agreement to any Array consultants."", ""Employee agrees not to disclose the existence of the Agreement to any Array independent contractors."", ""Employee agrees not to disclose the terms of the Agreement to any Array independent contractors.""]"
2 from 2 (2),"[""You must hold the provisions of this Agreement in strictest confidence."", ""You must not publicize the provisions of this Agreement in any manner whatsoever."", ""You must not disclose the provisions of this Agreement in any manner whatsoever."", ""You have the right to disclose this Agreement to your immediate family."", ""You have the right to disclose this Agreement in confidence to your attorneys, accountants, auditors, tax preparers, and financial advisors."", ""You have the right to disclose this Agreement insofar as such disclosure may be necessary to enforce the Agreement\u2019s terms."", ""You have the right to disclose this Agreement as otherwise required by law."", ""You agree not to disclose the terms of this Agreement to any current Company employee or independent contractor."", ""You agree not to disclose the terms of this Agreement to any former Company employee or independent contractor."", ""During the Consulting Period, you are permitted to inform Company employees that you are engaged as a consultant for the Company."", ""During the Consulting Period, you are permitted to inform third parties that you are engaged as a consultant for the Company.""]"
Adagio,"[""You must hold the provisions of the Agreement in the strictest confidence."", ""You must not publicize the provisions of the Agreement in any manner whatsoever."", ""You must not disclose the provisions of the Agreement in any manner whatsoever."", ""You may disclose the Agreement to your immediate family."", ""You may disclose the Agreement in confidence to your attorney."", ""You may disclose the Agreement in confidence to your accountant."", ""You may disclose the Agreement in confidence to your auditor."", ""You may disclose the Agreement in confidence to your tax preparer."", ""You may disclose the Agreement in confidence to your financial advisor."", ""You may disclose the Agreement insofar as such disclosure may be required by law."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Equal Employment Opportunity Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with the United States Department of Labor."", ""Nothing in the Agreement limits your right to voluntarily communicate with the National Labor Relations Board."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with another federal government agency or similar state or local agency."", ""Nothing in the Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act."", ""You agree not to disparage the Company in any manner likely to be harmful to the Company or its business, business reputation, or personal reputation."", ""You agree not to disparage the Company's attorneys in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's directors in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's managers in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's partners in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's employees in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's agents in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company's affiliates in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You may respond accurately and fully to any question, inquiry, or request for information when required by legal process."", ""By no later than the Effective Date, you must delete or otherwise remove any and all disparaging public comments or statements that you made prior to the Effective Date about or relating to the Company."", ""You agree to cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company."", ""Your cooperation with the Company must include matters relating to any present, prior, or subsequent relationships."", ""Your cooperation with the Company must include the orderly transfer of any such work and institutional knowledge to such other persons as may be designated by the Company."", ""You must make yourself reasonably available during regular business hours for purposes of the cooperation described.""]"
Heat Biologics,"[""You must hold the provisions of the Agreement in strictest confidence."", ""You must not publicize the provisions of the Agreement in any manner whatsoever."", ""You must not disclose the provisions of the Agreement in any manner whatsoever."", ""You may disclose the Agreement to your immediate family."", ""You may disclose the Agreement in confidence to your attorney."", ""You may disclose the Agreement in confidence to your accountant."", ""You may disclose the Agreement in confidence to your auditor."", ""You may disclose the Agreement in confidence to your tax preparer."", ""You may disclose the Agreement in confidence to your financial advisor."", ""You may disclose the Agreement insofar as such disclosure may be required by law."", ""Nothing in the Agreement limits your right to discuss your employment with the Equal Employment Opportunity Commission."", ""Nothing in the Agreement limits your right to discuss your employment with the United States Department of Labor."", ""Nothing in the Agreement limits your right to discuss your employment with the National Labor Relations Board."", ""Nothing in the Agreement limits your right to discuss your employment with another federal government agency or similar state or local agency."", ""Nothing in the Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act."", ""Neither the fact that the Parties have reached a mutual agreement to conclude their relationship is considered confidential information subject to this confidentiality provision."", ""Neither the official Separation Date agreed upon is considered confidential information subject to this confidentiality provision.""]"
Proteostatus,"[""You must hold the provisions of the Agreement in the strictest confidence."", ""You must not publicize the provisions of the Agreement in any manner whatsoever."", ""You must not disclose the provisions of the Agreement in any manner whatsoever."", ""You may disclose the Agreement to your immediate family."", ""You may disclose the Agreement in confidence to your attorney."", ""You may disclose the Agreement in confidence to your accountant."", ""You may disclose the Agreement in confidence to your auditor."", ""You may disclose the Agreement in confidence to your tax preparer."", ""You may disclose the Agreement in confidence to your financial advisor."", ""You may disclose the Agreement insofar as such disclosure may be required by law."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Equal Employment Opportunity Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with the United States Department of Labor."", ""Nothing in the Agreement limits your right to voluntarily communicate with the National Labor Relations Board."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission."", ""Nothing in the Agreement limits your right to voluntarily communicate with other federal government agencies or similar state or local agencies."", ""Nothing in the Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act."", ""You agree not to disparage the Company in any manner likely to be harmful to the Company or the Company\u2019s business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s attorneys in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s directors in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s managers in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s partners in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s employees in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s agents in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You agree not to disparage the Company\u2019s affiliates in any manner likely to be harmful to them or their business, business reputation, or personal reputation."", ""You may respond accurately and fully to any question, inquiry, or request for information when required by legal process."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Equal Employment Opportunity Commission (notwithstanding the non-disparagement provision)."", ""Nothing in the Agreement limits your right to voluntarily communicate with the United States Department of Labor (notwithstanding the non-disparagement provision)."", ""Nothing in the Agreement limits your right to voluntarily communicate with the National Labor Relations Board (notwithstanding the non-disparagement provision)."", ""Nothing in the Agreement limits your right to voluntarily communicate with the Securities and Exchange Commission (notwithstanding the non-disparagement provision)."", ""Nothing in the Agreement limits your right to voluntarily communicate with other federal government agencies or similar state or local agencies (notwithstanding the non-disparagement provision)."", ""Nothing in the Agreement limits your right to discuss the terms and conditions of your employment with others to the extent expressly permitted by Section 7 of the National Labor Relations Act (notwithstanding the non-disparagement provision)."", ""During the time you are receiving payments under the Agreement, you must cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company."", ""During the time you are receiving payments under the Agreement, you must cooperate fully with the Company in all matters relating to the transition of your work and responsibilities on behalf of the Company, including any present, prior or subsequent relationships."", ""During the time you are receiving payments under the Agreement, you must cooperate fully with the Company in the orderly transfer of any such work and institutional knowledge to such other persons as may be designated by the Company."", ""During the time you are receiving payments under the Agreement, you must make yourself reasonably available during regular business hours.""]"
