Doc,Rank,Reasons
Netgear,1,"['Nearly identical to the template in structure and substance.', ""Uses 'Eligible Employee', 'payroll deductions', 'Offering Period', and 'purchase shares under the Plan'."", 'Death provision and automatic termination match the template.']"
3 from Arlo,1,"['Substantially identical to the template.', ""Uses 'Eligible Employee', 'payroll deductions', 'Offering Period', and 'purchase shares of Common Stock under the Plan'."", 'Death provision and automatic termination match the template.']"
Dolby,2,"['Very similar to the template, with minor differences.', ""Allows for 'payroll deductions or contributions', and death provision refers to 'administrator of his or her estate' instead of 'person or persons entitled thereto'."", 'Otherwise, obligations and structure are the same.']"
Alector,2,"['Substantially similar to the template, but includes additional carve-outs for transfers and 423/Non-423 Component distinctions.', ""Uses 'Contributions' instead of 'payroll deductions', but otherwise matches the main obligations and parties."", 'Additional language about transfers and qualification under Section 423 adds complexity not present in the template.']"
Cytokinetics,2,"['Very similar to the template, but includes an additional carve-out for payment in lieu of notice, which is not in the template.', 'Otherwise, the main obligations, parties, and structure are the same.']"
Clovis Oncology,3,"['Similar to the template, but includes payment of any balance from a prior Offering Period, which is not in the template.', ""Specifies payment 'as soon as reasonably practicable', which is a minor difference in timing."", 'Otherwise, obligations and parties are the same.']"
2 from 2,3,"[""Similar to the template, but omits 'but not yet used to purchase shares' language, which is present in the template."", ""Specifies payment 'as soon as reasonably practicable', which is a minor difference in timing."", 'Otherwise, obligations and parties are the same.']"
Arena,4,"[""Very similar, but refers to 'Employee' instead of 'Eligible Employee'."", ""Refers to 'exercise the option' instead of 'purchase shares under the Plan'."", 'Otherwise, obligations and parties are the same.']"
Ari Network,4,"[""Refers to 'Employee of the Company' instead of 'Eligible Employee'."", ""Explicitly lists 'death, disability or retirement' as reasons, which is a minor expansion."", ""Refers to 'exercise the option' instead of 'purchase shares under the Plan'."", 'Otherwise, obligations and parties are the same.']"
Lantronix,4,"[""Refers to 'Employee' instead of 'Eligible Employee'."", ""Refers to 'exercise the option' instead of 'purchase shares under the Plan'."", ""Adds 'promptly' to the return of deductions, which is a minor difference.""]"
