Doc,Rank,Reasons
Immunomedics 3,1,"['Same core structure: non-compete during employment + 12 months post-termination for any reason', 'Same approval mechanic (prior written approval of the Board)', 'Same breadth of covered capacities (partner/officer/director/consultant/agent/employee/representative/stockholder; direct/indirect)', 'Same life-sciences/biopharma competitive scope focused on cancer therapeutics and R&D/manufacture/sale/marketing/licensing', 'Same carve-out permitting later employment if not working on matters related to the defined Business', 'Same passive investment exception at 5% thresholds', 'Difference: defines Business by targets/patient populations (narrower/more specific than template’s broader “cancer drugs/biopharmaceuticals”)']"
Immunomedics,2,"['Very similar non-compete construct, covered roles, and Board written approval requirement', 'Same life-sciences competitive field (cancer therapeutics) and same general activity restriction (engage in competing business/activity)', 'Same carve-out for post-termination employment so long as not working on related matters/products', 'Same 5% passive investment exception', 'Key differences: duration is 2 years (vs 12 months) and geography is limited to US/Canada (vs worldwide) and scope is narrower (therapeutic antibodies for cancer vs broader cancer drugs/biopharma)']"
Zeta Global,3,"['Matches timing (during employment + 12 months after; any reason) and worldwide scope', 'Same general prohibition on engaging (in various capacities) in a business that competes with the Company', 'Similar post-termination employment carve-out (must not work on matters related to Company products) and similar 5% passive investment exception', 'Differences: only requires “prior disclosure” to the Board (not prior written approval)', 'Different industry/business definition (digital marketing data management tech, not biopharma/cancer therapeutics) and includes an extra carve-out for “Permitted Outside Activities” not present in template']"
Tilray,4,"['Very close drafting and structure: during employment + 12 months post-termination; prior written Board approval; broad list of capacities; direct/indirect; similar carve-out for later employment not involving related matters', 'Addresses R&D/testing/manufacture/sale/marketing/licensing similar to template’s enumerated competitive activities', 'Key differences: geography limited to US/Canada (template is worldwide)', 'Business defined as products/services developed or provided by the Company generally (not specifically cancer/biopharma field)', 'Passive investment threshold is 2% (template is 5%)']"
Tilray 2,4,"['Substantively the same as Tilray clause (same term, structure, Board written approval, capacity list, activity list, carve-out)', 'Same US/Canada geographic limitation and 2% passive ownership cap differences from template', 'Different business field definition (not cancer/biopharma-specific)']"
2 from Tilray,4,"['Substantively the same as Tilray clause (same term, structure, Board written approval, capacity list, activity list, carve-out)', 'Same US/Canada geographic limitation and 2% passive ownership cap differences from template', 'Different business field definition (not cancer/biopharma-specific)']"
Auxillium,5,"['Similar overall non-compete structure (during employment + post-termination; Board written approval; roles/capacities; direct/indirect)', 'Same general pharma/product competition concept and similar 5% passive investment exception', 'Key differences: geography tied to where Company/partners are selling products (not worldwide) and scope tied to Company’s products being sold/under development (not “cancer drugs/biopharma/therapeutics” broadly)', 'Duration is 1 year (aligned with template’s 12 months), but the clause appends a non-solicitation section (additional obligations not in template)']"
Auxillium 2,5,"['Same as Auxillium non-compete mechanics (during employment + 1 year; Board written approval; direct/indirect; pharma product scope; 5% passive investment exception)', 'Same key differences from template: geography limited to sales territories; business scope tied to Employer products rather than cancer/biopharma field definition', 'No extra non-solicitation text included (closer than Auxillium on that point)']"
Auxillium 3,5,"['Same as Auxillium 2 in substance (during employment + 1 year; Board written approval; territory-based geography; product-based scope; 5% passive investment exception)', 'Differences from template remain: not worldwide and not specifically framed as cancer drugs/biopharma competitive field']"
1 Deerfield,6,"['Highly similar boilerplate structure (during employment + post-termination; Board prior written approval; broad capacities; direct/indirect; same employment carve-out and 5% passive investment exception)', 'Major difference: Business is primary care clinic/professional medical services (not biopharma/cancer therapeutics)', 'Duration is 24 months (vs 12 months) and the restriction is framed around providing medical services rather than competing drug/biopharma development/commercialization']"
