Doc,Clause,Rank,Notes
EnerCore,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in accordance with Section 9(f) of the Securities Purchase Agreement. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least fifteen (15) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder. It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.",10,"- don't actually have the notice mechanics because it's outlined in Securities Purchase Agreement
 (I gave it a low ranking for this but could be similar - but unable to confirm)
- the second part about when written notice shall be given is identical"
Tandem Diabetes,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid or electronic mail or (b) from outside the United States, by International Federal Express or electronic mail, and (ii) will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Business Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (C) if delivered by International Federal Express, two (2) Business Days after so mailed and (D) on the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day and (E) the next Trading Day after the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day, and will be delivered and addressed as follows: (i)if to the Company, to: Tandem Diabetes Care, Inc. 11045 Roselle Street 761795-4-110-v5.0 - 12- 80-40647928 San Diego, CA 92121 Attention: Stock Administration Email: stockadmin@tandemdiabetes.com (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock; provided that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder",6,"- no option for facsimile
- missing (B) and (C) of second part
- doesnt have sentence that time of exercise specified by Holder shall be definitive"
Leap,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (a) if delivered from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, or by facsimile or email or (b) if delivered from outside the United States, by International Federal Express or by facsimile or email and (c) will be deemed given (i) if delivered by first-class registered or certified domestic mail, three (3) Business Days after so mailed, (ii) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (iii) if delivered by International Federal Express, two (2) Business Days after so mailed, and (iv) if delivered by facsimile, upon electronic confirmation of receipt, or email, upon receipt, and will be delivered and addressed as follows: 10 (a) If to the Company, to Leap Therapeutics, Inc. 47 Thorndike St, Suite B1-1 Cambridge, MA 02141 Facsimile number: 617-588-1606 Email address: PIPEnotices@leaptx.com Attn: Chief Financial Officer (b)If to the Holder, to [Purchaser]. The Company shall give written notice to the Holder (i) reasonably promptly following any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least ten (10) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property pro rata to the record holders of any class of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided, that in each case, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder; and provided, further, that the failure to deliver such notice or any defect therein or in the delivery thereof shall not affect the validity of the corporation action required to be specified in such notice. Upon receipt or delivery by the Company of any notice in accordance with the terms of this Warrant, unless the Company has in good faith determined that the matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries, the Company shall contemporaneously with any such receipt or delivery publicly disclose such material, nonpublic information on a Current Report on Form 8-K or otherwise in accordance with applicable laws. In the event that the Company believes that a notice contains material, nonpublic information relating to the Company or its subsidiaries, the Company so shall indicate to such Holder contemporaneously with delivery of such notice, and in the absence of any such indication, the Holder shall be allowed to presume that all matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries.",8,"- missing the sentence about when notice deemed received if given by email (but does allow delivery by email)
- notice reasonably promptly following change to exercise price (reference clause was immediately)
- 10 day prior to closing its books (15 in reference clause)
- sentence that failure to deliver notice does not affect validity of the corporation action
- sentence about 8K's and material, non-public information
- doesn't contain last sentence from reference clause"
Axion,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in accordance with addresses exchanged by the parties. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor. To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its Subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K. It is expressly understood and agreed that the time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.",12,
Helios and Matheson,"Notices. (a) General. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail or by facsimile or (b) from outside the United States, by International Federal Express, electronic mail or facsimile, and (ii) will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Business Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (C) if delivered by International Federal Express, two (2) Business Days after so mailed and (D) if delivered by electronic mail, when sent (provided that such sent email is kept on file (whether electronically or otherwise) by the sending party and the sending party does not receive an automatically generated message from the recipient's email server that such e-mail could not be delivered to such recipient) and (E) if delivered by facsimile, upon electronic confirmation of receipt of such facsimile, and will be delivered and addressed as follows: (i) If to the Company: Helios and Matheson Analytics Inc. Empire State Building 350 5th Avenue New York, New York 10118 Telephone: (212) 979-8228 Facsimile: (212) 979-2517 Attention: Chief Executive Officer E-Mail: pat.k@hmny.com With a copy (for informational purposes only) to: Mitchell Silberberg & Knupp LLP 11377 W. Olympic Blvd. Los Angeles, CA 90065 Telephone: (310) 312-3106 Facsimile: (310) 312-3100 Attention: Kevin Friedmann, Esq. E-Mail: kxf@msk.com 13 (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company. (b) Required Notices. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) immediately upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s), (ii) at least ten Trading Days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, or (B) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder, and (iii) at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction. To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K. It is expressly understood and agreed that the time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.",9,"- not exceptions around Trading Day timing with electronic mail delivery
- carves out issuance of shares of Common Stock upon exercise from notice requirement
- 10 trading days instead of 15 trading days (re company closing its books and records)
- carve out for 10 Trading Days prior to the consummation of a Fundamental Transactoin
- company requirement to file an 8-k
- missing sentence about notice being definitive"
Dicerna,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail or by facsimile or (b) from outside the United States, by International Federal Express, electronic mail or facsimile, and (ii) will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Business Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (C) if delivered by International Federal Express, two (2) Business Days after so mailed and (D) on the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, (E) the next Trading Day after the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day and (E) if delivered by facsimile, upon electronic confirmation of receipt of such facsimile, and will be delivered and addressed as follows: (i) if to the Company, to: Dicerna Pharmaceuticals, Inc. 87 Cambridgepark Drive Cambridge, MA 02140 Attention: Douglas M. Fambrough, III, Ph.D. Facsimile: [•] Email: [•] (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least fifteen (15) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.",3,- same as reference clause other than missing sentence at end about time not being disputed
Carbon Energy,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in accordance with the information set forth in the Warrant Register. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including, in reasonable detail, a description of such action and the reason or reasons therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price or the number of Warrant Shares purchasable under this Warrant, setting forth in reasonable detail, and certifying, the calculation of such adjustment (but, in each case, only to the extent such disclosure would not result in the dissemination of material, non-public information to the Holder).",11,
BioPharmX,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail or by facsimile or (b) from outside the United States, by International Federal Express, electronic mail or facsimile, and (ii) will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Trading Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Trading Day after so mailed, (C) if delivered by International Federal Express, two (2) Trading Days after so mailed and (D) on the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, (E) the next Trading Day after the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day and (E) if delivered by facsimile, upon electronic confirmation of receipt of such facsimile, and will be delivered and addressed as follows: (i) if to the Company, to: BioPharmX Corporation 1505 Adams Drive, Suite D Menlo Park, CA 94025 Attention: Chief Financial Officer Facsimile: [ ] Email: [ ] (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) reasonably promptly upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least ten (10) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property pro rata to holders of any class of shares of Common Stock or (C) for 11 determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder. It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.",4,"- 10 days vs 15 for company closing its books or records
- also contains sentence that exercise shall be definitive"
Gevo,"Notices. Any and all notices or other communications or deliveries hereunder (including without limitation any Exercise Notice) shall be in writing and shall be deemed given and effective on the earliest of (a) the date of transmission, if such notice or communication is delivered via email at the email address specified in this Section 8 prior to 5:00 p.m. (New York time) on a Trading Day, (b) the next Trading Day after the date of transmission, if such notice or communication is delivered via email at the email address specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day, (c) the Trading Day following the date of mailing, if sent by nationally recognized overnight courier service, or (d) upon actual receipt by the party to whom such notice is required to be given. The addresses for such communications shall be: if to the Company: Gevo, Inc. 345 Inverness Drive South Building C, Suite 310 Englewood, CO 80112 Attn: Chief Financial Officer Email: mwillis@gevo.com with a copy (which shall not constitute notice) to: Paul Hastings LLP 4747 Executive Drive, Suite 1200 San Diego, CA 92121 Attn: Teri O'Brien, Esq. Email: teriobrien@paulhastings.com if to the Holder: to the address, facsimile number or email address appearing on the warrant register of the Company or such other address, facsimile number or email address as the Holder may provide to the Company in accordance with this Section 8. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) promptly upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s), (ii) at least ten (10) Trading Days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or 12 rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder, and (iii) at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction. To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its Subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K. If the Company or any of its Subsidiaries provides material non-public information to the Holder that is not simultaneously filed in a Current Report on Form 8-K and the Holder has not agreed to receive such material non-public information, the Company hereby covenants and agrees that the Holder shall not have any duty of confidentiality to the Company, any of its Subsidiaries or any of their respective officers, directors, employees, affiliates or agents with respect to, or a duty to any of the foregoing not to trade on the basis of, such material non-public information. It is expressly understood and agreed that the time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.",7,"- doesn't provide for fax notice, doesn't take into account different types of courriers
- carves out issuance of common stock
- notice promptly upon change to Exercise Price (vs immediately)
- 10 days vs 15
- additional notice requirement 10 trading days prior to the consummation of any Fundamental Transaction
- requirement to file 8k
- contains sentence time specified by holder is definitive"
Plug Power,"Notices. Whenever notice is required to be given under this Warrant, unless otherwise provided herein, such notice shall be given in writing, (i) if delivered (a) from within the domestic United States, by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail or by facsimile or (b) from outside the United States, by International Federal Express, electronic mail or facsimile, and (ii) will be deemed given (A) if delivered by first-class registered or certified mail domestic, three (3) Business Days after so mailed, (B) if delivered by nationally recognized overnight carrier, one (1) Business Day after so mailed, (C) if delivered by International Federal Express, two (2) Business Days after so mailed and (D) on the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 prior to 5:00 p.m. 12 (New York time) on a Trading Day, (E) the next Trading Day after the date of transmission, if delivered by electronic mail to each of the email addresses specified in this Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day and (E) if delivered by facsimile, upon electronic confirmation of receipt of such facsimile, and will be delivered and addressed as follows: (i) if to the Company, to: Plug Power Inc. 968 Albany Shaker Road Latham, New York 12110 Attention: Gerard L. Conway, Jr., General Counsel Facsimile: (518) 782-7884 Email: gconway@plugpower.com (ii) if to the Holder, at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company. The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor. Without limiting the generality of the foregoing, the Company will give written notice to the Holder (i) promptly upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment and (ii) at least fifteen (15) days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation; provided in each case that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder, but only to the extent the information in such notice constitutes material non-public information regarding the Company or any of its subsidiaries. It is expressly understood and agreed that the time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company. ",2,"- excludes issuance of comon stock
- otherwise the same"
