Doc,Rank,Reasons
Rocket,1,"['Matches mutual non-assignment without prior written consent (by operation of law or otherwise)', 'Same Company carve-out: assignment without Executive consent to affiliates and to reorganization/merger/consolidation counterparties or transferees of substantially all assets', 'Includes parenthetical reference to the Restrictive Covenant(s) Agreement', 'Same successor/representative/permitted assigns “inure to benefit/binding” structure and list (executors/administrators/heirs)']"
Chiasma,2,"['Same mutual consent requirement and same Company carve-out to affiliates and in connection with reorganization/merger/consolidation or substantially-all-asset transfer', 'Includes Restrictive Covenant Agreement reference like Template', 'Adds timing language (“to any affiliate at any time”) which broadens/clarifies affiliate assignment beyond Template', 'Otherwise closely tracks successor/assigns binding effect language']"
Verastem,3,"['Same mutual consent requirement and same Company carve-out to affiliates and reorganization/merger/consolidation or substantially-all-asset transfer', 'Very similar “inure to the benefit/binding upon” sentence and successor/permitted assigns list', 'Minor wording differences/typos (e.g., “affect” vs “effect”; “each of our respective” vs “each of the Executive’s and the Company’s”)', 'Does not reference Restrictive Covenants Agreement parenthetically as in Template']"
Two Contracts,4,"['Same mutual consent requirement and Company ability to assign to affiliates or in reorganization/merger/consolidation or substantially-all-asset transfer', 'Adds qualifier “after the Effective Date,” a slight temporal limitation not in Template', 'No Restrictive Covenants Agreement parenthetical reference', 'Otherwise similar successors/heirs/permitted assigns clause']"
United Surgical Partners,5,"['Same mutual consent requirement and Company carve-out for reorganization/consolidation/merger or substantially-all-asset transfer', 'Does not include affiliate-assignment carve-out present in Template', 'No Restrictive Covenants Agreement parenthetical reference', 'Successor language largely consistent though uses executors/administrators/heirs instead of “personal representatives” wording']"
Rezolute,6,"['Same mutual consent requirement and reorganization/merger/consolidation/substantially-all-asset transfer carve-out', 'Different obligation phrasing: Company “may assign its rights and shall assign its obligations,” emphasizing mandatory obligation assignment in carve-out', 'No affiliate assignment carve-out (unlike Template)', 'Otherwise similar binding effect/successors language']"
Phio Pharm,7,"['Contains core mutual consent restriction and reorganization/merger/consolidation/substantially-all-asset transfer carve-out', 'Adds an extra carve-out tied to Executive transfer to an Affiliate (not in Template)', 'No standalone affiliate-assignment right as broad as Template’s affiliate carve-out', 'Otherwise similar successors/permitted assigns language']"
Alibero,8,"['Includes mutual consent restriction and Company assignment carve-outs similar in concept (affiliate and reorganization/merger/transfer of substantially all properties/assets)', 'Broader/different scope: also covers transfers of outstanding stock and references “Parent” actions', 'Adds deeming provision replacing “Company” with assignee after assignment (not in Template)', 'Overall structure similar but materially more elaborate than Template']"
Abiomed,9,"['Has mutual consent restriction and Company carve-out for reorganization/merger/consolidation or sale of substantially all properties/stock/assets', 'Adds Executive-side assignment on death for economic rights (not in Template)', 'No affiliate-assignment carve-out for Company (unlike Template)', 'Otherwise similar successors/heirs/permitted assigns language']"
Ironwood,10,"['Includes mutual consent restriction and corporate transaction carve-outs, but with multiple additional mechanics', 'Adds automatic Executive assignment of economic rights on death (not in Template)', 'Adds requirement that Company cause asset acquirer to assume the agreement (extra obligation not in Template)', 'Uses “sale of all or substantially all of its stock” concept and assumption requirement, making it more transaction-structured than Template']"
