Doc,Rank,Reasons
Landstar,1,"['Nearly identical structure and wording (do/perform; execute/deliver; further acts and things; other agreements/certificates/instruments/documents)', 'Same trigger: as any other party may reasonably request', 'Same purpose: carry out intent/accomplish purposes of this Agreement and consummation of transactions contemplated hereby', ""Only omission vs. template is the specific example 'including voting for an increase in the Authorized Shares'""]"
4 from First Advantage,2,"['Matches core obligation to do further acts and execute/deliver documents at reasonable request', ""Same parties concept (each party/either party) and same 'intent and accomplish purposes of this Agreement' language"", ""Narrower than template because it omits 'consummation of the transactions contemplated hereby' and the specific voting example""]"
2 from 8i,3,"['Retains core further-assurances obligation and transaction-consummation purpose', ""Differs materially in requester standard: not 'as any other party may request' but 'as may reasonably be considered within the scope of such party's obligations' (self-limiting)"", 'No specific voting example']"
6 from 3,4,"['Very similar core language (further acts; execute/deliver documents; reasonable request) and includes Plan + consummation concept', 'Adds carve-out/qualification: additional documents cannot be inconsistent with the agreement (not in template)', ""Refers to 'this Agreement and the Plan' and transactions contemplated thereunder (not 'hereby'); no specific voting example""]"
2 from GenCo,4,"['Same further-assurances mechanics and reasonable-request standard', 'Includes Plan and consummation of transactions contemplated thereunder (similar overall purpose)', ""Applies to 'Award Agreement' rather than the main 'Agreement' contemplated by the template; no specific voting example""]"
4 from Albany,4,"[""Same further-assurances mechanics and 'any other party' reasonable-request standard"", 'Includes Award Agreement + Plan + consummation language (close but not identical to template’s agreement/transaction framing)', 'No specific voting example']"
2 from GrubHub,4,"['Same further-assurances mechanics and reasonable-request standard', 'Includes Agreement + Plan + consummation of transactions contemplated thereunder (similar purpose)', ""Uses 'either party' (two-party framing) and adds Plan reference; no specific voting example""]"
4 from 2,5,"['Contains core further-assurances obligations plus added cooperation obligation (extra requirement not in template)', ""Covers Agreement + Plan but omits explicit 'consummation of the transactions contemplated hereby' phrasing"", 'No specific voting example']"
5 from Herbalife,5,"[""Substantively identical to '4 from 2' (adds cooperation; Agreement + Plan; no explicit consummation language)"", 'Core further-assurances obligation remains similar but is broader/different due to cooperation addition', 'No specific voting example']"
Genesis,6,"['Keeps basic further-assurances structure and reasonable-request concept', ""Purpose is to carry out a 'Waiver' (different instrument and typically narrower context than an agreement with transactions)"", 'Omits transaction consummation concept and the specific voting example']"
