Neuralstem,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided herein."", ""If notice is delivered from within the domestic United States, it shall be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail, or by facsimile."", ""If notice is delivered from outside the United States, it shall be sent by International Federal Express, electronic mail, or facsimile."", ""Notice will be deemed given three (3) Business Days after mailing by first-class registered or certified mail domestic."", ""Notice will be deemed given one (1) Business Day after mailing by nationally recognized overnight carrier."", ""Notice will be deemed given two (2) Business Days after mailing by International Federal Express."", ""Notice will be deemed given on the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day."", ""Notice will be deemed given the next Trading Day after the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day."", ""Notice will be deemed given upon electronic confirmation of receipt if delivered by facsimile."", ""Notice to the Company shall be delivered and addressed to Neuralstem, Inc. 20271 Goldenroad Lane Germantown, MD 20876 Attention: Rich Daly Facsimile: 301.560.6634 Email: rdaly@neuralstem.com."", ""Notice to the Holder shall be delivered to such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation."", ""In each case of notice regarding dividends, distributions, grants, issuances, sales, or voting rights, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company."", ""The provisions of this Warrant may be amended or waived and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.""]"
EnerCore,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in accordance with Section 9(f) of the Securities Purchase Agreement, unless otherwise provided herein."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation."", ""In each case where notice is given to the Holder as described above, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.""]"
Tandem Diabetes,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided herein."", ""If notice is delivered from within the domestic United States, it shall be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, or electronic mail."", ""If notice is delivered from outside the United States, it shall be sent by International Federal Express or electronic mail."", ""Notice will be deemed given three (3) Business Days after mailing by first-class registered or certified mail domestic."", ""Notice will be deemed given one (1) Business Day after mailing by nationally recognized overnight carrier."", ""Notice will be deemed given two (2) Business Days after mailing by International Federal Express."", ""Notice will be deemed given on the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day."", ""Notice will be deemed given the next Trading Day after the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day."", ""If notice is to the Company, it will be delivered and addressed to Tandem Diabetes Care, Inc., 11045 Roselle Street, San Diego, CA 92121, Attention: Stock Administration, Email: stockadmin@tandemdiabetes.com."", ""If notice is to the Holder, it will be delivered to such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, provided that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.""]"
Leap,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided herein."", ""If notice is delivered from within the domestic United States, it shall be given by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, or by facsimile or email."", ""If notice is delivered from outside the United States, it shall be given by International Federal Express or by facsimile or email."", ""Notice will be deemed given: (i) if delivered by first-class registered or certified domestic mail, three Business Days after so mailed; (ii) if delivered by nationally recognized overnight carrier, one Business Day after so mailed; (iii) if delivered by International Federal Express, two Business Days after so mailed; (iv) if delivered by facsimile, upon electronic confirmation of receipt; or (v) if delivered by email, upon receipt."", ""Notice will be delivered and addressed as follows: (a) If to the Company, to Leap Therapeutics, Inc. 47 Thorndike St, Suite B1-1 Cambridge, MA 02141 Facsimile number: 617-588-1606 Email address: PIPEnotices@leaptx.com Attn: Chief Financial Officer; (b) If to the Holder, to [Purchaser]."", ""The Company shall give written notice to the Holder reasonably promptly following any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company shall give written notice to the Holder at least ten days prior to the date on which the Company closes its books or takes a record (A) with respect to any dividend or distribution upon the shares of Common Stock, (B) with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property pro rata to the record holders of any class of shares of Common Stock, or (C) for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation."", ""In each case of notice under the previous obligation, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The failure to deliver such notice or any defect therein or in the delivery thereof shall not affect the validity of the corporation action required to be specified in such notice."", ""Upon receipt or delivery by the Company of any notice in accordance with the terms of this Warrant, unless the Company has in good faith determined that the matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries, the Company shall contemporaneously with any such receipt or delivery publicly disclose such material, nonpublic information on a Current Report on Form 8-K or otherwise in accordance with applicable laws."", ""If the Company believes that a notice contains material, nonpublic information relating to the Company or its subsidiaries, the Company shall indicate so to the Holder contemporaneously with delivery of such notice."", ""In the absence of any such indication from the Company, the Holder shall be allowed to presume that all matters relating to such notice do not constitute material, nonpublic information relating to the Company or its subsidiaries.""]"
Axion,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in accordance with addresses exchanged by the parties, unless otherwise provided herein."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""If any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its Subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K."", ""The time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.""]"
Helios and Matheson,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided in the Warrant."", ""If notice is delivered from within the domestic United States, it shall be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail, or by facsimile."", ""If notice is delivered from outside the United States, it shall be sent by International Federal Express, electronic mail, or facsimile."", ""Notice delivered by first-class registered or certified mail domestic will be deemed given three (3) Business Days after mailing."", ""Notice delivered by nationally recognized overnight carrier will be deemed given one (1) Business Day after mailing."", ""Notice delivered by International Federal Express will be deemed given two (2) Business Days after mailing."", ""Notice delivered by electronic mail will be deemed given when sent, provided that the sent email is kept on file by the sending party and the sending party does not receive an automatically generated message from the recipient's email server that the email could not be delivered."", ""Notice delivered by facsimile will be deemed given upon electronic confirmation of receipt of such facsimile."", ""Notices to the Company shall be delivered and addressed to Helios and Matheson Analytics Inc., Empire State Building, 350 5th Avenue, New York, New York 10118, with specified contact details, and with a copy for informational purposes only to Mitchell Silberberg & Knupp LLP, 11377 W. Olympic Blvd., Los Angeles, CA 90065, with specified contact details."", ""Notices to the Holder shall be delivered to the address or other contact information delivered by the Holder to the Company or as is on the books and records of the Company."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms hereof), including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder immediately upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s)."", ""The Company will give written notice to the Holder at least ten Trading Days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, provided that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The Company will give written notice to the Holder at least ten Trading Days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided that such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The Company will give written notice to the Holder at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction."", ""To the extent that any notice provided hereunder constitutes, or contains, material, non-public information regarding the Company or any of its subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K."", ""The time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.""]"
Dicerna,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided herein."", ""If notice is delivered from within the domestic United States, it shall be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail, or by facsimile."", ""If notice is delivered from outside the United States, it shall be sent by International Federal Express, electronic mail, or facsimile."", ""Notice will be deemed given three (3) Business Days after mailing by first-class registered or certified mail domestic."", ""Notice will be deemed given one (1) Business Day after mailing by nationally recognized overnight carrier."", ""Notice will be deemed given two (2) Business Days after mailing by International Federal Express."", ""Notice will be deemed given on the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day."", ""Notice will be deemed given the next Trading Day after the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day."", ""Notice will be deemed given upon electronic confirmation of receipt if delivered by facsimile."", ""Notice will be delivered and addressed as follows: if to the Company, to Dicerna Pharmaceuticals, Inc., 87 Cambridgepark Drive, Cambridge, MA 02140, Attention: Douglas M. Fambrough, III, Ph.D., Facsimile: [\u2022], Email: [\u2022]."", ""Notice to the Holder will be delivered to such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock."", ""The Company will give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation."", ""In each case where the Company gives notice to the Holder, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder.""]"
Carbon Energy,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in accordance with the information set forth in the Warrant Register, unless otherwise provided herein."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including a description of such action and the reason or reasons therefor in reasonable detail."", ""The Company will give written notice to the Holder immediately upon any adjustment of the Exercise Price or the number of Warrant Shares purchasable under this Warrant, setting forth in reasonable detail, and certifying, the calculation of such adjustment, but only to the extent such disclosure would not result in the dissemination of material, non-public information to the Holder.""]"
BioPharmX,"[""Whenever notice is required to be given under this Warrant, such notice shall be given in writing unless otherwise provided herein."", ""If notice is delivered from within the domestic United States, it shall be sent by first-class registered or certified airmail, or nationally recognized overnight express courier, postage prepaid, electronic mail, or by facsimile."", ""If notice is delivered from outside the United States, it shall be sent by International Federal Express, electronic mail, or facsimile."", ""Notice will be deemed given three (3) Trading Days after mailing by first-class registered or certified mail domestic."", ""Notice will be deemed given one (1) Trading Day after mailing by nationally recognized overnight carrier."", ""Notice will be deemed given two (2) Trading Days after mailing by International Federal Express."", ""Notice will be deemed given on the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day."", ""Notice will be deemed given the next Trading Day after the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day."", ""Notice will be deemed given upon electronic confirmation of receipt if delivered by facsimile."", ""Notice shall be delivered and addressed as follows: if to the Company, to BioPharmX Corporation 1505 Adams Drive, Suite D Menlo Park, CA 94025 Attention: Chief Financial Officer Facsimile: [ ] Email: [ ]."", ""If to the Holder, notice shall be delivered at such address or other contact information delivered by the Holder to Company or as is on the books and records of the Company."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant, including in reasonable detail a description of such action and the reason therefor."", ""The Company will give written notice to the Holder reasonably promptly upon any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment."", ""The Company will give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock."", ""The Company will give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property pro rata to holders of any class of shares of Common Stock."", ""The Company will give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation."", ""In each case where the Company gives notice to the Holder, such information shall be made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The time of exercise specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.""]"
Gevo,"[""Any and all notices or other communications or deliveries under this agreement (including any Exercise Notice) must be in writing."", ""A notice or communication delivered via email at the specified email address before 5:00 p.m. (New York time) on a Trading Day is deemed given and effective on the date of transmission."", ""A notice or communication delivered via email at the specified email address on a day that is not a Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given and effective on the next Trading Day after the date of transmission."", ""A notice or communication sent by nationally recognized overnight courier service is deemed given and effective on the Trading Day following the date of mailing."", ""A notice or communication is deemed given and effective upon actual receipt by the party to whom such notice is required to be given."", ""The address for communications to the Company is: Gevo, Inc., 345 Inverness Drive South, Building C, Suite 310, Englewood, CO 80112, Attn: Chief Financial Officer, Email: mwillis@gevo.com, with a copy (which does not constitute notice) to Paul Hastings LLP, 4747 Executive Drive, Suite 1200, San Diego, CA 92121, Attn: Teri O'Brien, Esq., Email: teriobrien@paulhastings.com."", ""The address, facsimile number, or email address for communications to the Holder is the one appearing on the warrant register of the Company or such other address, facsimile number, or email address as the Holder may provide to the Company in accordance with this section."", ""The Company shall provide the Holder with prompt written notice of all actions taken pursuant to this Warrant (other than the issuance of shares of Common Stock upon exercise in accordance with the terms), including a description of such action and the reason therefor in reasonable detail."", ""The Company will give written notice to the Holder promptly upon each adjustment of the Exercise Price and the number of Warrant Shares, setting forth in reasonable detail, and certifying, the calculation of such adjustment(s)."", ""The Company will give written notice to the Holder at least ten (10) Trading Days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock, with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock, or for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided that such information is made known to the public prior to or in conjunction with such notice being provided to the Holder."", ""The Company will give written notice to the Holder at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction."", ""To the extent any notice provided hereunder constitutes or contains material, non-public information regarding the Company or any of its Subsidiaries, the Company shall simultaneously file such notice with the SEC pursuant to a Current Report on Form 8-K."", ""If the Company or any of its Subsidiaries provides material non-public information to the Holder that is not simultaneously filed in a Current Report on Form 8-K and the Holder has not agreed to receive such material non-public information, the Holder shall not have any duty of confidentiality to the Company, any of its Subsidiaries or any of their respective officers, directors, employees, affiliates or agents with respect to, or a duty not to trade on the basis of, such material non-public information."", ""The time of execution specified by the Holder in each Exercise Notice shall be definitive and may not be disputed or challenged by the Company.""]"
