Doc,Rank,Reasons
Gulfport,1,"['Matches template’s core duration standard: continues as long as Indemnitee may have any liability/potential liability from service', 'Covers service for Company and at Company’s request for other entities', 'Includes successors/assigns/spouses/heirs/enforceability language, and adds stronger successor assumption obligation (not a conflict)', 'Adds ‘subject to any Proceeding’ formulation, consistent with template’s liability/potential liability concept']"
Mammoth,2,"['Very close to template: “so long as… any liability or potential liability” plus post-service continuation tied to Proceedings', 'Preserves binding/inurement to successors/assigns/spouses/heirs, etc., consistent with template', 'Difference: uses “Covered Entities”/“Covered Status” rather than the template’s broader list of outside roles; functionally similar but terminology diverges']"
Inseego,3,"['Includes the same successors/assigns/spouses/heirs/enforceability sentence as template (near-verbatim)', 'Duration differs: fixed tail of 6 years after Corporate Status terminates (subject to tolling), rather than “so long as… any liability or potential liability”', 'Still continues thereafter while subject to a Proceeding, partially capturing template’s open-ended risk-based duration']"
Entellus,3,"['Same structure as Inseego and includes the same successors/assigns/spouses/heirs/enforceability language as template', 'Key deviation: 6-year post-termination tail instead of indefinite “liability or potential liability” standard', 'Proceeding-based continuation aligns in part with template’s risk-based continuation']"
Earthstone,4,"['Includes successor/assigns/spouses/heirs concept similar to template, with broader successor transaction list (reorganization, majority of assets/income)', 'Duration is not framed as “liability/potential liability”; instead tied to being/may be made subject to a Proceeding', 'Outside-service scope is narrower than template (uses “another Person” rather than enumerated roles like partner/trustee/member, etc.)']"
Cytodin,5,"['Contains successors/assigns/spouses/heirs/enforceability language essentially matching template', 'Duration trigger differs: continues during service and thereafter while may be subject to a Proceeding, rather than “any liability or potential liability” standard', 'Role coverage broader than some (includes employee/agent of Company) but template focuses on officer/director plus requested service; overall structure is more proceeding-centric']"
Kinmed,5,"['Contains successors/assigns/spouses/heirs/enforceability language matching template', 'Uses proceeding-based continuation (“could be subject to any Proceeding”) rather than template’s “liability or potential liability” duration', 'Adds separate ‘Security’ provision (extra, not in template) but does not change duration/inurement substance']"
Frontier,5,"['Matches common structure: during service + thereafter while subject to a Proceeding; includes successor/assigns/spouses/heirs language like template', 'Adds retroactivity/vesting clarifications not in template (additional protections, but changes emphasis)', 'Does not use template’s “liability or potential liability” standard; proceeding-based instead']"
TTM,6,"['Proceeding-based continuation after service; similar overall indemnification-duration concept', 'Lacks the template’s successors/assigns/spouses/heirs/enforceability paragraph', 'Does not use template’s “liability or potential liability” formulation; focuses on being subject to a Proceeding']"
Gi Dynamics,7,"['Includes successors/assigns/spouses/heirs/enforceability language like template', 'Duration is weaker/less specific: continues during service and ‘thereafter’ without explicit “so long as” liability/potential-liability or proceeding qualifier', 'Adds ‘Security’ provision (extra)']"
Opgen,8,"['Includes successor/assigns/spouses/heirs/enforceability language like template', 'Materially different duration: terminates on later of a 10-year tail or 1 year after final termination of pending Proceeding (finite), unlike template’s open-ended liability/potential-liability approach', 'Adds ‘Security’ provision (extra), and uses a termination construct inconsistent with template’s indefinite continuation']"
Angel Pond,9,"['Does not include the template’s successors/assigns/spouses/heirs/enforceability language', 'Duration tied to “possible Proceeding” and includes special references (Angel Pond Partners LLC/Administrative Services Agreement; Section 14 proceeding by Indemnitee), making it more bespoke than template', 'Although it covers requested service across many capacities (similar breadth), overall structure and embedded deal-specific qualifiers reduce similarity to template']"
