Doc,Clause
Esports Management,"Non-Disparagement. The Executive agrees and covenants that the Executive will not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties. This Section 9 does not, in any way, restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order. The Executive shall promptly provide written notice of any such order to the Compliance Officer."
Total System Services,"Non-Disparagement. Except as otherwise provided in Section 10, Team Member agrees not to make, publish or communicate to any person or entity or in any public forum (including social media) at any time any defamatory or disparaging remarks, comments or statements concerning any of the Company Group, or any of their respective directors, officers and employees. This Section 6 does not in any way, restrict or impede Team Member from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized Government Agency (as defined below)."
3 from Total,"Non-Disparagement. Except as otherwise provided in Section 11, Team Member agrees not to make, publish or communicate to any person or entity or in any public forum (including social media) at any time any defamatory or disparaging remarks, comments or statements concerning any of the Company Group, or any of their respective directors, officers and employees. This Section 7 does not in any way, restrict or impede Team Member from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized Government Agency (as defined below)."
CTI Industries,"Non-Disparagement. The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, products, services, officers, directors, investors or affiliate companies. This Section 9 does not, in any way, restrict or impede the Executive from giving truthful testimony in court or administrative proceedings or exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order. The Executive shall promptly provide written notice of any such order to the Board. 16 10. Acknowledgement. The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character; that the Executive will obtain knowledge and skill relevant to the Company Fields, methods of doing business and marketing strategies by virtue of the Executive's employment; and that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company. The Executive further acknowledges that the amount of his compensation reflects, in part, his obligations and the Company's rights under Section 7, Section 8 and Section 9 of this Agreement; that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith; that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Section 7, Section 8 and Section 9 of this Agreement or the Company's enforcement thereof."
Clearwater Analytics,"Non-Disparagement. The Employee agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company, its subsidiaries, affiliates or their respective businesses, or any of its employees, directors, managers, officers, and existing and prospective customers, suppliers, investors, lenders, representatives, agents and other associated third parties. In turn, the Company agrees not to issue any official statements or press releases defaming or disparaging the Employee and further agrees to instruct all then-current members of the Employee Leadership team not to make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Employee. This Section 9 does not, in any way, restrict or impede the Employee or the Company from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order. If applicable, the Employee shall promptly provide written notice of any such order to the Company's General Counsel, and the Company shall promptly provide written notice of any such order to the Employee. clearwateranalytics.com | 10. Acknowledgement. The Employee acknowledges and agrees that the services to be rendered by the Employee to the Company are of a special and unique character; that the Employee will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of the Employee's employment; and that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company. The Employee further acknowledges that the amount of the Employee's compensation reflects, in part, the Employee's obligations and the Company's rights under Section 7, Section 8, and Section 9 of this Agreement; that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith; and that he will not be subject to undue hardship by reason of the Employee's full compliance with the terms and conditions of Section 7, Section 8, and Section 9 of this Agreement or the Company's enforcement thereof."
Veru,"Non-Disparagement. The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers, directors, and existing and prospective customers, suppliers, investors and other associated third parties. This Section 9 does not, in any way, restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order. The Executive shall promptly provide written notice of any such order to Company's EVP Legal. 12 10. Acknowledgement. The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character; that the Executive will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of the Executive's employment; and that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interests of the Company. The Executive further acknowledges and agrees that the amount of his compensation hereunder reflects, in part, substantial consideration for his obligations and the Company's rights under Sections 7 through 9 of this Agreement; that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith; that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Sections 7 through 9 of this Agreement or the Company's enforcement thereof."
Union Bankshares,"Non-Disparagement. Subject to the provision in Section 5(f) relating to communications to Regulators, you will not at any time during or after the Employment Period make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its business, or any of its directors, employees, customers, and other associated third parties. This Section 22 does not, in any way, restrict or impede you from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by law, regulation or order. You shall promptly provide written notice of any such order to the Company. The Company will cause its officers and directors to refrain from making, publishing or communicating, at any time during or after the Employment Period, to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning you. 11​23. Stock Ownership Requirements. During the Employment Period, you will be expected to maintain ownership of Company common stock in accordance with the guidelines established by the Board of Directors from time to time."
Organicell,"Non-Disparagement. The Executive agrees and covenants that he will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments or statements concerning the Company or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors and other associated third parties. This Section 9 does not, in any way, restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation or order. The Executive shall promptly provide written notice of any such order to Chief Executive Officer of the Company. The Company agrees and covenants that it shall cause its officers and directors to refrain from making any defamatory or disparaging remarks, comments or statements concerning the Executive to any third parties. 15 10. Acknowledgement. The Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character; that the Executive will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of the Executive's employment; and that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company. The Executive further acknowledges that the amount of his compensation reflects, in part, his obligations and the Company's rights under Section 7, Section 8 and Section 9 of this Agreement; that he has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith; that he will not be subject to undue hardship by reason of his full compliance with the terms and conditions of Section 7, Section 8 and Section 9 of this Agreement or the Company's enforcement thereof."
5E Advanced,"Non-Disparagement. The Executive agrees and covenants that the Executive will not at any time make, publish or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company Group or its businesses, or any of its employees, officers, and existing and prospective customers, suppliers, investors, and other associated third parties. This Section 9 does not, in any way, restrict or impede the Executive from exercising protected rights to the extent that such rights cannot be waived by agreement or from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order. The Executive shall promptly provide written notice of any such order to the Company's SVP, General Counsel and Corporate Secretary. The Company agrees and covenants that it shall direct its officers and directors to refrain from making any defamatory or disparaging remarks, comments, or statements concerning the Executive to any third parties. 15 10. Acknowledgement. The Executive acknowledges and agrees that the services to be rendered by the Executive to the Company are of a special and unique character; that the Executive will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of the Executive's employment; and that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interest of the Company Group. The Executive further acknowledges that the benefits provided to the Executive under this Agreement, including the amount of the Executive's compensation reflects, in part, the Executive's obligations and the Company's rights under Section 7, Section 8, and Section 9 of this Agreement; that the Executive has no expectation of any additional compensation, royalties or other payment of any kind not otherwise referenced herein in connection herewith; and that the Executive will not suffer undue hardship by reason of full compliance with the terms and conditions of Section 7, Section 8, and Section 9 of this Agreement or the Company's enforcement thereof."
Ecoark,"Non-Disparagement. .. Employee shall not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Company or its businesses, or any of its employees or officers. The Company and the Group promise and agree that they shall not at any time make, publish, or communicate to any person or entity or in any public forum any defamatory or disparaging remarks, comments, or statements concerning the Employee. This Section does not, in any way, restrict or impede Employee from exercising protected rights to the extent that such rights cannot be waived by agreement, of from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency. "
