Doc,Rank,Reasons
Adaptive Biotech,1,"['Same core structure: excused delay in performance for both parties for events beyond reasonable control', 'Same key carve-out: Tenant’s obligation to pay Rent not excused', 'Event list closely tracks template (acts of God, sinkholes/subsidence, labor disputes, embargoes/quarantines, weather/disasters, inability to obtain labor/materials at reasonable costs, utilities failure, governmental restrictions/controls, national emergencies, permits, hostile action/terrorism, civil unrest, casualty)', 'No material extra qualifiers beyond template (minor formatting/typo only)']"
Beam,2,"['Very close match to template’s event list and “beyond reasonable control” catch-all', 'Carve-out expanded from just Rent to “Rent and any other amounts payable,” narrowing excuse vs. template', 'Adds explicit exclusion: financial disability/hardship not Force Majeure (not in template)', 'Adds “extreme weather” and epidemic/pandemic reference (extra items vs. template)']"
Vaxcyte,2,"['Very close match to template’s event list and structure', 'Carve-out broadened to “Rent and any other amounts payable,” differing from template’s Rent-only carve-out', 'Adds epidemic/pandemic item and explicit financial hardship exclusion (both not in template)', 'Otherwise mirrors template’s triggers and catch-all']"
NextCure,3,"['Core concept matches: neither party liable for delays due to enumerated Force Majeure events plus catch-all', 'Monetary carve-out is broader than template: no monetary obligation excused for either party (template excludes only Tenant’s Rent)', 'Omits sinkholes/subsidence (present in template)', 'Adds definition/qualification of “reasonable costs” (extra nuance not in template)']"
Genvec,3,"['Same general Force Majeure framework and similar event list', 'Monetary carve-out broader than template (no monetary obligation excused for either party)', 'Omits sinkholes/subsidence (present in template)', 'Catch-all is limited to events beyond Landlord’s control (template refers to both parties’ reasonable control)']"
Enanta,4,"['Substantially similar structure and event list; includes sinkholes/subsidence and most template events', 'Carve-out materially broader than template: excludes Rent and any other payment due by either party from being delayed/excused', 'Adds multiple public-health concepts (pandemics/epidemics/infectious disease; declared emergencies) and added permitting/inspection/entitlements detail (extra items/precision)', 'Uses “reasonable control of the obligated party” (similar but slightly different framing than template’s “their reasonable control”)']"
Forma,4,"['Very similar to Enanta and largely tracks template’s event list and structure', 'Carve-out broader than template: Rent and any other payment not delayed or excused', 'Adds notice obligation language and detailed governmental inspection/approvals/entitlements and public-health events (extras vs. template)', 'Retains sinkholes/subsidence and broad catch-all, keeping it closer than clauses that shift relief to Landlord only']"
Biocardia,5,"['Uses largely the same event list as template (acts of God, labor disputes, embargoes/quarantines, weather/disasters, materials/utilities, governmental restrictions, emergencies, permits, hostile action/terrorism, unrest, casualty)', 'Key structural difference: only Landlord receives Force Majeure protection (template protects both parties)', 'No Rent carve-out stated (template expressly carves out Tenant’s Rent)', 'Catch-all tied to events beyond Landlord’s reasonable control only']"
Sensei,5,"['Substantially same event list as template', 'Only Landlord is excused (template applies to neither party)', 'No express Rent carve-out (template has Rent carve-out)', 'Catch-all limited to Landlord’s reasonable control']"
Revolution,5,"['Substantially same event list as template', 'Only Landlord is excused (template applies to both parties)', 'No express Rent carve-out (template has Rent carve-out)', 'Catch-all limited to Landlord’s reasonable control']"
