Doc,Obls,Score,Rank
Esports Management,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Executive must not at any time make, publish, or communicate any defamatory or disparaging remarks, comments, or statements about the Company or its businesses or specified related persons/entities, to any person/entity or in any public forum.', [1], [1]], ['Section 9 does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [2]], ['Section 9 does not restrict or impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law, regulation, or order.', [2], [2]], ['Executive must promptly provide written notice of any such order to the Compliance Officer.', [3], [3]]], 'opposite': []}",1.0
Organicell,"{'unmatchedList1': [['Executive MUST provide written notice of any such order to the Compliance Officer', [3]]], 'unmatchedList2': [['Executive MUST provide written notice of any such order to the Chief Executive Officer of the Company', [3]], ['Company MUST cause its officers and directors to refrain from making defamatory or disparaging remarks/comments/statements about the Executive to any third parties', [4]]], 'identical': [['Executive MUST NOT at any time make, publish, or communicate any defamatory or disparaging remarks/comments/statements about the Company/its businesses or its employees, officers, and existing/prospective customers, suppliers, investors, and other associated third parties, to any person/entity or in any public forum', [1], [1]], ['Section 9 does not restrict or impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement', [2], [2]], ['Section 9 does not restrict or impede the Executive from complying with applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided such compliance does not exceed what is required by the law/regulation/order', [2], [2]], ['Executive MUST promptly provide written notice of any such order', [3], [3]]], 'opposite': []}",0.5714285714285714,1
5E Advanced,"{'unmatchedList1': [['Executive MUST promptly provide written notice of any such order to the Compliance Officer.', [3]]], 'unmatchedList2': [[""Executive MUST promptly provide written notice of any such order to the Company's SVP, General Counsel and Corporate Secretary."", [3]], ['Company MUST direct its officers and directors to refrain from making any defamatory or disparaging remarks/comments/statements concerning the Executive to any third parties.', [4]]], 'identical': [['Executive MUST NOT at any time make, publish, or communicate any defamatory or disparaging remarks/comments/statements about the Company/Company Group (and its businesses, employees, officers, and existing/prospective customers, suppliers, investors, and other associated third parties) to any person/entity or in any public forum.', [1], [1]], ['Section 9 does NOT restrict/impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [2]], ['Section 9 does NOT restrict/impede the Executive from complying with applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided such compliance does not exceed what is required by the law/regulation/order.', [2], [2]]], 'opposite': []}",0.5,2
Ecoark,"{'unmatchedList1': [['Executive must not make/publish/communicate defamatory or disparaging remarks about the Company’s existing and prospective customers, suppliers, investors, and other associated third parties', [1]], ['Executive’s compliance with law/regulation/order is permitted only if it does not exceed that required by the law, regulation, or order', [2]], ['Executive must promptly provide written notice of any such order to the Compliance Officer', [3]]], 'unmatchedList2': [['Company and the Group must not at any time make, publish, or communicate any defamatory or disparaging remarks about the Employee, to any person/entity or in any public forum', [2]]], 'identical': [['Employee/Executive must not at any time make, publish, or communicate any defamatory or disparaging remarks about the Company or its businesses, or any of its employees or officers, to any person/entity or in any public forum', [1], [1]], ['Employee/Executive is permitted to exercise protected rights to the extent such rights cannot be waived by agreement (non-disparagement does not restrict/impede such rights)', [2], [3]], ['Employee/Executive is permitted to comply with applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency (non-disparagement does not restrict/impede such compliance)', [2], [3]]], 'opposite': []}",0.42857142857142855,3
Total System Services,"{'unmatchedList1': [[""Non-disparagement prohibition also covers remarks about the Company's businesses and about existing and prospective customers, suppliers, investors, and other associated third parties"", [1]], ['Compliance with law/regulation/order is permitted only provided that such compliance does not exceed what is required by the law, regulation, or order', [2]], ['Executive must promptly provide written notice of any such order to the Compliance Officer', [3]]], 'unmatchedList2': [['Non-disparagement prohibition is subject to an exception: Except as otherwise provided in Section 10', [1]], ['Non-disparagement prohibition expressly includes public forums including social media', [1]]], 'identical': [['Executive/Team Member must not at any time make, publish, or communicate in any public forum any defamatory or disparaging remarks about the Company/Company Group or their personnel', [1], [1]], ['Executive/Team Member may exercise protected rights to the extent such rights cannot be waived by agreement (non-restriction carve-out)', [2], [2]], ['Executive/Team Member may comply with applicable law or regulation or a valid court/government agency order (non-restriction carve-out)', [2], [2]]], 'opposite': []}",0.375,4
Vapotherm,"{'unmatchedList1': [['Executive must not at any time make/publish/communicate defamatory or disparaging remarks/comments/statements concerning Company employees, officers, and existing and prospective customers, suppliers, investors, and other associated third parties', [2]], ['Executive must promptly provide written notice of any such order to the Compliance Officer', [4]]], 'unmatchedList2': [['Executive must not at any time make/publish/communicate defamatory or disparaging remarks/comments/statements concerning Company employees, officers, directors, or the Company’s/their respective affiliates', [2]], ['Executive must promptly provide written notice of any such order to the Chairman of the Board', [4]], ['Nothing in this Agreement or any other agreement with confidentiality/restrictive covenants shall be construed to limit/restrict/affect Executive communicating with any governmental agency/entity or its officials/staff concerning matters relevant to that agency/entity', [5]]], 'identical': [['Executive must not at any time make, publish, or communicate any defamatory or disparaging remarks/comments/statements about the Company or its businesses', [2], [2]], ['Nothing in this Section restricts Executive from exercising protected rights that cannot be waived by agreement', [3], [3]], ['Nothing in this Section restricts Executive from complying with applicable law/regulation or a valid court/government agency order, provided such compliance does not exceed what is required', [3], [3]]], 'opposite': []}",0.375,4
3 from Total,"{'unmatchedList1': [['Executive MAY comply with applicable law/regulation/order ONLY PROVIDED THAT such compliance does not exceed what is required by the law, regulation, or order.', [2]], ['Executive MUST promptly provide written notice of any such order to the Compliance Officer.', [3]], [""Non-disparagement prohibition extends to remarks concerning the Company's businesses and existing and prospective customers, suppliers, investors, and other associated third parties."", [1]]], 'unmatchedList2': [['Team Member MUST_NOT make/publish/communicate defamatory or disparaging remarks/comments/statements in any public forum including social media.', [1]], ['Team Member MUST_NOT make/publish/communicate defamatory or disparaging remarks/comments/statements EXCEPT as otherwise provided in Section 11.', [1]], ['Authorized Government Agency is referenced as a defined term (as defined below) in the compliance carve-out.', [2]]], 'identical': [['Executive/Team Member MUST_NOT at any time make, publish, or communicate in any public forum any defamatory or disparaging remarks/comments/statements concerning the Company/Company Group or their directors/officers/employees.', [1], [1]], ['Executive/Team Member MAY exercise protected rights to the extent such rights cannot be waived by agreement (not restricted/impeded by this section).', [2], [2]], ['Executive/Team Member MAY comply with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency (not restricted/impeded by this section).', [2], [2]]], 'opposite': []}",0.3333333333333333,5
Union Bankshares,"{'unmatchedList1': [[""Non-disparagement prohibition applies 'at any time' (no explicit term limitation)"", [1]], ['Notice of any such order must be provided to the Compliance Officer', [3]], [""Non-disparagement covers remarks concerning the Company's officers, and existing and prospective customers, suppliers, investors, and other associated third parties"", [1]]], 'unmatchedList2': [['Non-disparagement prohibition is subject to Section 5(f) relating to communications to Regulators', [1]], [""Non-disparagement prohibition applies 'at any time during or after the Employment Period'"", [1]], ['Notice of any such order must be provided to the Company', [3]], ['Company MUST cause its officers and directors to refrain from making/publishing/communicating defamatory or disparaging remarks about you during or after the Employment Period', [4]], ['You will be expected (MUST) to maintain ownership of Company common stock during the Employment Period in accordance with Board guidelines established from time to time', [5]]], 'identical': [['Executive/you MUST_NOT make, publish, or communicate any defamatory or disparaging remarks about the Company (and related persons/entities) in any public forum or to any person/entity', [1], [1]], ['Executive/you MAY exercise protected rights to the extent such rights cannot be waived by agreement', [2], [2]], ['Executive/you MAY comply with applicable law or regulation or a valid court/government order, provided such compliance does not exceed what is required', [2], [2]], ['Executive/you MUST promptly provide written notice of any such order', [3], [3]]], 'opposite': []}",0.3333333333333333,5
Blue Ridge,"{'unmatchedList1': [['Executive must not at any time make, publish, or communicate defamatory or disparaging statements about the Company, its businesses, its employees/officers, or its existing and prospective customers/suppliers/investors and other associated third parties', [1]], ['Executive must promptly provide written notice of any such order to the Compliance Officer', [3]]], 'unmatchedList2': [['You must not at any time during or after the Employment Period make, publish, or communicate defamatory or disparaging statements about the Bank, its Affiliates or their business, or any of their directors/employees/customers and other associated third parties', [1]], ['You must promptly provide written notice of any such order to the Bank', [3]]], 'identical': [['Individual is not restricted from exercising protected rights to the extent such rights cannot be waived by agreement', [2], [2]], ['Individual is not restricted from complying with applicable law or regulation or a valid court/government order, provided the compliance does not exceed what is required by the law/regulation/order', [2], [2]]], 'opposite': []}",0.3333333333333333,5
Veru,"{'unmatchedList1': [['Notice of any such order must be provided to the Compliance Officer.', [3]]], 'unmatchedList2': [['Non-disparagement covers remarks/comments/statements concerning the Company’s directors (in addition to other listed persons).', [1]], [""Notice of any such order must be provided to the Company's EVP Legal."", [3]], ['Executive acknowledges and agrees that the services to be rendered by him to the Company are of a special and unique character.', [4]], [""Executive acknowledges and agrees that he will obtain knowledge and skill relevant to the Company's industry, methods of doing business and marketing strategies by virtue of his employment."", [4]], ['Executive acknowledges and agrees that the restrictive covenants and other terms and conditions of this Agreement are reasonable and reasonably necessary to protect the legitimate business interests of the Company.', [4]], [""Executive acknowledges and agrees that the amount of his compensation reflects, in part, substantial consideration for his obligations and the Company's rights under Sections 7 through 9 of this Agreement."", [4]], ['Executive acknowledges and agrees that he has no expectation of any additional compensation, royalties, or other payment not otherwise referenced herein in connection herewith.', [4]], [""Executive acknowledges and agrees that he will not be subject to undue hardship by reason of his full compliance with Sections 7 through 9 or the Company's enforcement thereof."", [4]]], 'identical': [['Executive must not at any time make, publish, or communicate any defamatory or disparaging remarks/comments/statements about the Company or its businesses, or its employees/officers, and existing/prospective customers, suppliers, investors, and other associated third parties, to any person/entity or in any public forum.', [1], [1]], ['Section 9 does not restrict/impede the Executive from exercising protected rights to the extent such rights cannot be waived by agreement.', [2], [2]], ['Section 9 does not restrict/impede the Executive from complying with any applicable law or regulation or a valid order of a court of competent jurisdiction or an authorized government agency, provided that such compliance does not exceed that required by the law/regulation/order.', [2], [2]], ['Executive must promptly provide written notice of any such order.', [3], [3]]], 'opposite': []}",0.3076923076923077,6
