Doc,Rank,Reasons
Dynatronics,1,"['Nearly identical to the template in parties, obligations, scope, and release language.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release of claims similar to the template.']"
Hoth Therapeautics,1,"['Substantially identical to the template in all material respects.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release of claims, matching the template.']"
Singing Machine,1,"['Very close to the template in parties, obligations, scope, and release.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release and waiver of claims, similar to the template.']"
Seventy Seven Energy,1,"['Very similar to the template in parties, obligations, scope, and release.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release and waiver of claims, matching the template.']"
iGambit,1,"['Very similar to the template in parties, obligations, scope, and release.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release and waiver of claims, matching the template.']"
Osiris,1,"['Very similar to the template in parties, obligations, scope, and release.', 'Covers use during and after employment, all media, and all business purposes.', 'Includes a full release and waiver of claims, matching the template.']"
IQVIA,2,"['Nearly identical to the template in consent, parties, and scope.', 'Covers use during and after employment, all media, and all business purposes.', 'Does not include an explicit release of claims, which is a key difference from the template.']"
Quantum Materials,3,"['Similar in scope and parties, but introduces a significant carve-out: post-employment use requires prior written approval.', 'During employment, consent is broad and similar to the template, but after employment, the Company must get approval, which is a material difference.', 'No explicit release of claims for post-employment uses without approval.']"
Bakhu Holdings,4,"['Requires advance approval from the Employee (not to be unreasonably withheld), which is a significant qualification not present in the template.', 'Covers similar media and purposes, but only during the Employment Term, not after.', 'No explicit release of claims, and the approval requirement is a major difference.']"
OncBioMune,4,"[""Requires Employer to use commercially reasonable efforts to obtain Employee's consent before use, which is a significant qualification."", 'Covers similar media and purposes, and includes a release, but only after consent is given.', 'The consent requirement and the process for obtaining it are material differences from the template.']"
5 from C,5,"[""Covers only 'reasonable and customary' uses, which is a limitation not present in the template."", 'Covers only during the term of employment, not after.', 'No explicit release of claims, and the scope is narrower than the template.']"
Medizone,5,"[""Covers only 'reasonable and customary' uses, which is a limitation not present in the template."", 'Covers only during the term of employment, not after.', 'No explicit release of claims, and the scope is narrower than the template.']"
