Doc,Obls,Score,Rank
Neuralstem,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), such notice must be given in writing and may be delivered only by the specified delivery methods depending on whether sent from within or outside the United States.', [1], [1]], ['Notices are deemed given at the specified times depending on the delivery method (mail/overnight carrier/International Federal Express/email timing rules/facsimile confirmation).', [1], [1]], ['Notices must be delivered and addressed to the Company at the specified physical address and attention/facsimile/email details.', [1], [1]], ['Notices to the Holder must be delivered to the Holder’s address/contact information delivered by the Holder to the Company or as shown on the Company’s books and records.', [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including reasonably detailed description and reasons.', [2], [2]], ['The Company must give the Holder written notice immediately upon any adjustment of the Exercise Price, including reasonable detail and certification of the calculation.', [3], [3]], ['The Company must give the Holder written notice at least 15 days before the Company closes its books or takes a record with respect to the enumerated events (dividends/distributions; certain grants/issuances/sales; determining voting rights re Fundamental Transaction/dissolution/liquidation), with the proviso that the information be made public prior to or in conjunction with the notice.', [3], [3]], ['The Company must not dispute or challenge the time of exercise specified by the Holder in each Exercise Notice (time is definitive).', [4], [4]], ['The Warrant may be amended or waived only if the Company has obtained the Holder’s written consent (except as otherwise provided).', [5], [5]], ['The Company may take an action otherwise prohibited by the Warrant only if it has obtained the Holder’s written consent (except as otherwise provided).', [5], [5]], ['The Company may omit performing an act otherwise required by the Warrant only if it has obtained the Holder’s written consent (except as otherwise provided).', [5], [5]]], 'opposite': []}",1.0
Delcath,"{'unmatchedList1': [['Notices to the Company must be delivered and addressed to: Neuralstem, Inc., 20271 Goldenroad Lane, Germantown, MD 20876, Attention: Rich Daly, Facsimile: 301.560.6634, Email: rdaly@neuralstem.com.', [2]], ['The Warrant may be amended or waived, the Company may take any action otherwise prohibited, or omit any act otherwise required, only if the Company has obtained the Holder’s written consent.', [6]]], 'unmatchedList2': [['Notices to the Company must be delivered and addressed to: Delcath Systems, Inc., 1633 Broadway, Suite 22C, New York, New York 10019 (Attention/Facsimile/Email fields as stated).', [2]]], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), the notice must be given in writing.', [2], [2]], ['If a required notice is delivered from within the domestic United States, it may be delivered by first-class registered or certified airmail, nationally recognized overnight express courier (postage prepaid), electronic mail, or facsimile.', [2], [2]], ['If a required notice is delivered from outside the United States, it may be delivered by International Federal Express, electronic mail, or facsimile.', [2], [2]], ['A notice delivered by first-class registered or certified domestic mail is deemed given three (3) Business Days after mailing.', [2], [2]], ['A notice delivered by a nationally recognized overnight carrier is deemed given one (1) Business Day after mailing.', [2], [2]], ['A notice delivered by International Federal Express is deemed given two (2) Business Days after mailing.', [2], [2]], ['A notice delivered by email to each specified email address before 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission.', [2], [2]], ['A notice delivered by email to each specified email address on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given on the next Trading Day after transmission.', [2], [2]], ['A notice delivered by facsimile is deemed given upon electronic confirmation of receipt.', [2], [2]], ['Notices to the Holder must be delivered to the Holder’s address/other contact information delivered by the Holder to the Company, or as shown on the Company’s books and records.', [2], [2]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including a reasonably detailed description of the action and the reason for it.', [3], [3]], ['The Company must give the Holder written notice immediately upon any adjustment of the Exercise Price, including reasonable detail and certification of the adjustment calculation.', [4], [4]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record with respect to any dividend or distribution on Common Stock.', [4], [4]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record with respect to grants/issuances/sales of Options, Convertible Securities, or rights to purchase stock, warrants, securities, or other property to holders of Common Stock.', [4], [4]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution, or liquidation.', [4], [4]], ['For the foregoing notices, the relevant information must be made known to the public prior to or in conjunction with the notice being provided to the Holder.', [4], [4]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and the Company is prohibited from disputing or challenging it.', [5], [5]]], 'opposite': []}",0.85,1
Dicerna,"{'unmatchedList1': [['A notice delivered by facsimile WILL be deemed given upon electronic confirmation of receipt of such facsimile.', [2]], ['Notices MUST be delivered and addressed as follows: if to the Company, to Neuralstem, Inc., 20271 Goldenroad Lane, Germantown, MD 20876, Attention: Rich Daly, Facsimile: 301.560.6634, Email: rdaly@neuralstem.com.', [2]], ['The time of exercise specified by the Holder in each Exercise Notice MUST be treated as definitive and MUST NOT be disputed or challenged by the Company.', [5]], [""Except as otherwise provided, the Warrant MAY be amended or waived, and the Company MAY take prohibited actions or omit required acts, ONLY if the Company has obtained the Holder's written consent."", [6]]], 'unmatchedList2': [['A notice delivered by facsimile WILL be deemed given upon electronic confirmation of receipt of such facsimile.', [1]], ['Notices MUST be delivered and addressed as follows: if to the Company, to Dicerna Pharmaceuticals, Inc., 87 Cambridgepark Drive, Cambridge, MA 02140, Attention: Douglas M. Fambrough, III, Ph.D., Facsimile: [•], Email: [•].', [1]]], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), such notice MUST be given in writing.', [2], [1]], ['If a required notice is delivered from within the domestic United States, it MUST be delivered by one of the specified methods (first-class registered/certified airmail; nationally recognized overnight express courier, postage prepaid; electronic mail; or facsimile).', [2], [1]], ['If a required notice is delivered from outside the United States, it MUST be delivered by one of the specified methods (International Federal Express; electronic mail; or facsimile).', [2], [1]], ['A notice delivered by first-class registered/certified mail domestic WILL be deemed given three (3) Business Days after mailed.', [2], [1]], ['A notice delivered by nationally recognized overnight carrier WILL be deemed given one (1) Business Day after mailed.', [2], [1]], ['A notice delivered by International Federal Express WILL be deemed given two (2) Business Days after mailed.', [2], [1]], ['A notice delivered by email to the specified email addresses prior to 5:00 p.m. (New York time) on a Trading Day WILL be deemed given on the date of transmission.', [2], [1]], ['A notice delivered by email to the specified email addresses on a non-Trading Day or after 5:00 p.m. (New York time) on any Trading Day WILL be deemed given the next Trading Day after transmission.', [2], [1]], [""Notices MUST be delivered and addressed as follows: if to the Holder, at such address/other contact information delivered by the Holder to Company or as is on the Company's books and records."", [2], [1]], ['The Company MUST provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including in reasonable detail a description of such action and the reason therefor.', [3], [2]], ['The Company WILL give the Holder written notice immediately upon any adjustment of the Exercise Price, setting forth in reasonable detail and certifying the calculation of such adjustment.', [4], [3]], ['The Company WILL give the Holder written notice at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any dividend or distribution upon the shares of Common Stock.', [4], [3]], ['The Company WILL give the Holder written notice at least fifteen (15) days prior to the date on which the Company closes its books or takes a record with respect to any grants, issuances or sales of any Options, Convertible Securities or rights to purchase stock, warrants, securities or other property to holders of shares of Common Stock.', [4], [3]], ['The Company WILL give the Holder written notice at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation.', [4], [3]], ['For each of the foregoing Company notices, the relevant information MUST be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [4], [3]]], 'opposite': []}",0.7142857142857143,2
Plug Power,"{'unmatchedList1': [['A notice delivered by facsimile is deemed given upon electronic confirmation of receipt of such facsimile.', [1]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price.', [3]], ['The Warrant may be amended or waived, and the Company may take prohibited actions or omit required acts, only if the Company has obtained the written consent of the Holder (except as otherwise provided).', [5]]], 'unmatchedList2': [['A notice delivered by facsimile is deemed given upon electronic confirmation of receipt of such facsimile.', [1]], ['The Company’s duty to give the Holder prompt written notice of all actions taken pursuant to the Warrant excludes the issuance of shares of Common Stock upon exercise in accordance with the terms hereof.', [2]], ['The Company must give written notice to the Holder promptly upon any adjustment of the Exercise Price.', [3]], ['For the 15-day advance notice, the public-disclosure requirement applies only to the extent the information in such notice constitutes material non-public information regarding the Company or any of its subsidiaries.', [3]]], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), such notice must be given in writing and delivered by the specified methods depending on domestic vs. outside the United States delivery.', [1], [1]], ['A notice is deemed given (for mail/overnight/International Federal Express/email) at the specified times after mailing/transmission subject to the stated Trading Day and 5:00 p.m. (New York time) cutoffs for email.', [1], [1]], [""Notices must be delivered and addressed to the Company at the specified Company contact information, and to the Holder at the Holder address/contact information provided to the Company or as on the Company's books and records."", [1], [1]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including in reasonable detail a description of such action and the reason therefor.', [2], [2]], ['The Company must give the Holder written notice upon any adjustment of the Exercise Price, setting forth in reasonable detail and certifying the calculation of such adjustment.', [3], [3]], ['The Company must give the Holder written notice at least fifteen (15) days before the date the Company closes its books or takes a record with respect to the specified events (dividends/distributions; grants/issuances/sales of specified securities/rights; record for voting rights re Fundamental Transaction/dissolution/liquidation).', [3], [3]], ['In each case of the 15-day advance notice, the information must be made known to the public prior to or in conjunction with such notice being provided to the Holder.', [3], [3]], ['The exercise time specified by the Holder in each Exercise Notice is definitive and the Company must not dispute or challenge it.', [4], [4]]], 'opposite': []}",0.5333333333333333,3
FuelCell,"{'unmatchedList1': [['Email notice is deemed given only if transmitted to each of the email addresses specified in the notice section prior to 5:00 p.m. (New York time) on a Trading Day.', [2]], ['Email notice is deemed given the next Trading Day after transmission if sent on a non-Trading Day or after 5:00 p.m. (New York time) on any Trading Day.', [2]], ['The Company MAY amend or waive Warrant provisions, take prohibited actions, or omit required acts ONLY if it has obtained the Holder’s written consent.', [6]]], 'unmatchedList2': [['Email notice is deemed given when sent, provided the sender has not received an automated rejection notice.', [2]], ['Prompt written notice of actions taken pursuant to the Warrant EXCLUDES the issuance of shares of Common Stock upon exercise in accordance with the Warrant’s terms.', [3]], ['Immediate adjustment notice MUST cover each adjustment of the Exercise Price AND the number of Warrant Shares (with certified calculations).', [4]], ['Advance notice before book close/record date for grants/issuances/sales applies only to those made to all, or substantially all, holders of Common Stock.', [4]], ['The Company MUST give written notice to the Holder at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction.', [4]], ['If any notice contains material non-public information regarding the Company or any subsidiary, the Company MUST simultaneously file the notice with the SEC on a Form 8-K.', [6]], ['If the Company (or any subsidiary) provides the Holder material non-public information that is not simultaneously filed on Form 8-K and the Holder has not agreed to receive it, the Holder has NO duty of confidentiality and NO duty not to trade on the basis of such information with respect to the Company, its subsidiaries, and related persons.', [7]]], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), the notice MUST be given in writing.', [2], [2]], ['Notice MUST be delivered by the specified methods depending on whether delivery is from within the domestic United States or from outside the United States.', [2], [2]], ['Notice MUST be delivered/addressed to the Company at the address/contact information stated in the notice provision.', [2], [2]], ['Notice to the Holder MUST be sent to the Holder’s address or other contact information delivered by the Holder to the Company or as shown on the Company’s books and records.', [2], [2]], ['The Company MUST provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including reasonable detail describing the action and the reason.', [3], [3]], ['The Company MUST give the Holder written notice immediately upon any adjustment of the Exercise Price, including reasonable detail and a certification of the calculation of the adjustment.', [4], [4]], ['The Company MUST give the Holder written notice in advance of the Company closing its books or taking a record for specified events (dividends/distributions; grants/issuances/sales of specified securities/rights; determining voting rights regarding specified transactions), provided the information is made public prior to or in conjunction with the notice to the Holder.', [4], [4]], ['The time specified by the Holder in each Exercise Notice (exercise/execution time, as applicable) is definitive and the Company MUST NOT dispute or challenge it.', [5], [8]]], 'opposite': []}",0.4444444444444444,4
Helios and Matheson,"{'unmatchedList1': [['If notice is delivered by email to the specified email addresses prior to 5:00 p.m. (New York time) on a Trading Day, it is deemed given on the date of transmission.', [2]], ['If notice is delivered by email to the specified email addresses on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day, it is deemed given on the next Trading Day after transmission.', [2]], ['Company must give Holder written notice at least fifteen (15) days prior to a record/close-of-books date with respect to grants/issuances/sales of Options, Convertible Securities or rights to purchase stock/warrants/securities/other property to Common Stock holders, provided the information is made public prior to or in conjunction with the notice.', [4]], ['Warrant provisions may be amended or waived, and Company may take prohibited actions or omit required acts, only if Company has obtained Holder’s written consent.', [6]]], 'unmatchedList2': [['If notice is delivered by email, it is deemed given when sent, provided the sending party keeps the sent email on file and does not receive an automatically generated non-delivery message from the recipient’s email server.', [1]], ['Notices to the Company must also be copied (for informational purposes only) to specified counsel.', [1]], ['Company’s prompt written notice obligation for actions taken pursuant to the Warrant excludes issuance of Common Stock upon exercise in accordance with the Warrant’s terms.', [1]], ['Company’s immediate adjustment notice must cover adjustments to both the Exercise Price and the number of Warrant Shares.', [1]], ['Company must provide the advance record/close-of-books notices at least ten Trading Days prior (not fifteen days).', [1]], ['Company must give Holder written notice at least ten (10) Trading Days prior to the consummation of any Fundamental Transaction.', [1]], ['If any notice constitutes or contains material non-public information regarding the Company or any subsidiary, Company must simultaneously file such notice with the SEC on a Form 8-K.', [1]], ['The time of execution (not exercise) specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [1]]], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), such notice must be given in writing using the permitted delivery methods depending on where sent (domestic vs outside the U.S.).', [2], [1]], ['Notice is deemed given by certain delivery methods after specified periods: domestic registered/certified mail (3 Business Days), nationally recognized overnight carrier (1 Business Day), International Federal Express (2 Business Days).', [2], [1]], ['If notice is delivered by facsimile, it is deemed given upon electronic confirmation of receipt.', [2], [1]], ['Notices must be delivered and addressed to the Company/Holder at the specified addresses, with Holder address as provided to Company or as on Company books and records.', [2], [1]], ['Company must provide Holder with prompt written notice of all actions taken pursuant to the Warrant, including reasonable detail describing the action and the reason.', [3], [1]], ['Company must give Holder written notice immediately upon any adjustment of the Exercise Price, including reasonable detail and certification of the calculation.', [4], [1]], ['Company must give Holder written notice in advance of the record/close-of-books date for dividends/distributions on Common Stock, provided the information is made public prior to or in conjunction with the notice.', [4], [1]], ['Company must give Holder written notice in advance of the record/close-of-books date for determining voting rights with respect to any Fundamental Transaction, dissolution or liquidation, provided the information is made public prior to or in conjunction with the notice.', [4], [1]], ['The time specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [5], [1]]], 'opposite': []}",0.42857142857142855,5
Tandem Diabetes,"{'unmatchedList1': [['Notice may be delivered by facsimile (domestic and outside the U.S.).', [2]], ['If notice is delivered by facsimile, it is deemed given upon electronic confirmation of receipt of the facsimile.', [2]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record with respect to grants, issuances or sales of Options, Convertible Securities, or rights to purchase stock/warrants/securities/other property to holders of Common Stock, provided that the information is made public prior to or in conjunction with the notice to the Holder.', [4]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record for determining rights to vote with respect to any Fundamental Transaction, dissolution or liquidation, provided that the information is made public prior to or in conjunction with the notice to the Holder.', [4]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and the Company must not dispute or challenge it.', [5]], ['The Warrant may be amended or waived only if the Company has obtained the Holder’s written consent (except as otherwise provided).', [6]], ['The Company may take any action otherwise prohibited under the Warrant only if it has obtained the Holder’s written consent (except as otherwise provided).', [6]], ['The Company may omit to perform any act required to be performed by it under the Warrant only if it has obtained the Holder’s written consent (except as otherwise provided).', [6]]], 'unmatchedList2': [], 'identical': [['Whenever notice is required under the Warrant (unless otherwise provided), such notice must be given in writing using the specified delivery methods for domestic vs. outside-U.S. delivery, and notice is deemed given according to the specified timing rules for mail/overnight carrier/International Federal Express/electronic mail (including the Trading Day and 5:00 p.m. New York time cutoffs).', [2], [1]], ['Notices must be delivered and addressed to the Company at the address stated in the notice section, and to the Holder at the Holder’s address/contact information delivered to the Company or as shown on the Company’s books and records.', [2], [1]], ['The Company must provide the Holder prompt written notice of all actions taken pursuant to the Warrant, including reasonable detail describing the action and the reason for it.', [3], [2]], ['The Company must give the Holder written notice immediately upon any adjustment of the Exercise Price, including reasonable detail and a certification of the calculation of the adjustment.', [4], [3]], ['The Company must give the Holder written notice at least fifteen (15) days before the Company closes its books or takes a record with respect to any dividend or distribution on shares of Common Stock, provided that the information is made public prior to or in conjunction with the notice to the Holder.', [4], [3]]], 'opposite': []}",0.38461538461538464,6
Leap,"{'unmatchedList1': [['Notice (if delivered from within the domestic United States) may be delivered by electronic mail (in addition to the other listed methods).', [2]], ['Notice is deemed given on the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 prior to 5:00 p.m. (New York time) on a Trading Day.', [2]], ['Notice is deemed given the next Trading Day after the date of transmission if delivered by electronic mail to each of the email addresses specified in Section 8 on a day that is not a Trading Day or later than 5:00 p.m. (New York time) on any Trading Day.', [2]], ['Notices must be delivered and addressed to the Company at the specified Neuralstem, Inc. address/attention/facsimile/email.', [2]], ['Notices to the Holder must be delivered to such address or other contact information delivered by the Holder to the Company or as is on the books and records of the Company.', [2]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including in reasonable detail a description of such action and the reason therefor.', [3]], ['The Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price.', [4]], ['The Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for the specified matters.', [4]], ['The time of exercise specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company.', [5]], ['The Warrant may be amended or waived, and the Company may take any action prohibited or omit any required act, only if the Company has obtained the written consent of the Holder.', [6]]], 'unmatchedList2': [['If notice is delivered by email, it is deemed given upon receipt.', [2]], ['Notices must be delivered and addressed to the Company at the specified Leap Therapeutics, Inc. address/attention/facsimile/email.', [2]], ['Notices to the Holder must be delivered to [Purchaser].', [2]], ['The Company must give written notice to the Holder reasonably promptly following any adjustment of the Exercise Price.', [3]], ['The Company must give written notice to the Holder at least ten (10) days prior to the date on which the Company closes its books or takes a record for the specified matters.', [3]], ['For specified record dates/book closings relating to grants/issuances/sales of Options/Convertible Securities/rights, the notice obligation applies where such items are offered/sold ""pro rata to the record holders of any class of shares of Common Stock.""', [3]], ['Failure to deliver the notice (or defects in it or its delivery) does not affect the validity of the corporate action required to be specified in the notice.', [3]], ['Upon receipt or delivery by the Company of any notice in accordance with the Warrant, unless the Company in good faith determines the matters do not constitute material, nonpublic information relating to the Company or its subsidiaries, the Company must contemporaneously publicly disclose such material, nonpublic information on a Current Report on Form 8-K or otherwise in accordance with applicable laws.', [4]], ['If the Company believes a notice contains material, nonpublic information relating to the Company or its subsidiaries, the Company must indicate that to the Holder contemporaneously with delivery of the notice.', [5]], ['Absent an indication from the Company that the notice contains material, nonpublic information, the Holder is permitted to presume that all matters relating to the notice do not constitute material, nonpublic information relating to the Company or its subsidiaries.', [5]]], 'identical': [['When notice is required under the Warrant (unless otherwise provided), such notice must be given in writing.', [2], [2]], ['If notice is delivered from within the domestic United States, notice must be delivered by first-class registered/certified airmail or a nationally recognized overnight express courier (postage prepaid), or by facsimile or email.', [2], [2]], ['If notice is delivered from outside the United States, notice must be delivered by International Federal Express, or by facsimile or email.', [2], [2]], ['If notice is delivered by first-class registered/certified domestic mail, it is deemed given three (3) Business Days after being mailed.', [2], [2]], ['If notice is delivered by nationally recognized overnight carrier, it is deemed given one (1) Business Day after being mailed.', [2], [2]], ['If notice is delivered by International Federal Express, it is deemed given two (2) Business Days after being mailed.', [2], [2]], ['If notice is delivered by facsimile, it is deemed given upon electronic confirmation of receipt.', [2], [2]], ['The Company must give written notice to the Holder following any adjustment of the Exercise Price, setting forth in reasonable detail, and certifying, the calculation of such adjustment.', [4], [3]], ['For specified record dates/book closings (dividends/distributions; grants/issuances/sales of Options/Convertible Securities/rights; or determining voting rights regarding a Fundamental Transaction/dissolution/liquidation), the Company must ensure the information is made known to the public prior to or in conjunction with the notice being provided to the Holder.', [4], [3]]], 'opposite': []}",0.3103448275862069,7
Gevo,"{'unmatchedList1': [['If notice is delivered from within the domestic United States, it must be delivered by first-class registered or certified airmail, nationally recognized overnight express courier, postage prepaid, electronic mail, or facsimile', [2]], ['If notice is delivered from outside the United States, it must be delivered by International Federal Express, electronic mail, or facsimile', [2]], ['If delivered by first-class registered or certified domestic mail, notice is deemed given three (3) Business Days after mailing', [2]], ['If delivered by nationally recognized overnight carrier, notice is deemed given one (1) Business Day after mailing', [2]], ['If delivered by International Federal Express, notice is deemed given two (2) Business Days after mailing', [2]], ['If delivered by facsimile, notice is deemed given upon electronic confirmation of receipt', [2]], ['Notices to the Company must be delivered to the specified Company name/address and identified recipients/contact points', [2]], ['Company must give written notice to the Holder immediately upon any adjustment of the Exercise Price', [4]], ['Company must give written notice to the Holder at least fifteen (15) days prior to the date on which the Company closes its books or takes a record for the specified matters', [4]], ['Warrant provisions may be amended/waived and Company may take prohibited actions or omit required actions only if the Company has obtained the Holder’s written consent', [6]]], 'unmatchedList2': [['Notices are deemed given and effective on the earliest of the specified methods/timings (including upon actual receipt by the receiving party)', [2]], ['If notice is sent by nationally recognized overnight courier service, it is deemed given on the Trading Day following the date of mailing', [2]], ['Notices are deemed given upon actual receipt by the party to whom notice is required to be given', [2]], ['Notices to the Company must be sent to the specified Company name/address and attention/email, with a copy to specified outside counsel (copy does not constitute notice)', [2]], ['Company’s prompt written notice of actions taken pursuant to the Warrant excludes issuance of shares of Common Stock upon exercise in accordance with the Warrant terms', [3]], ['Company must give written notice promptly upon each adjustment of the Exercise Price and the number of Warrant Shares', [4]], ['Company must give written notice at least ten (10) Trading Days prior to the book closing/record date for the specified matters', [4]], ['Company must give written notice at least ten (10) Trading Days prior to consummation of any Fundamental Transaction', [4]], ['If any notice constitutes or contains material non-public information regarding the Company or its Subsidiaries, the Company must simultaneously file the notice with the SEC on Form 8-K', [5]], ['If the Company or its Subsidiaries provides material non-public information to the Holder that is not simultaneously filed on Form 8-K and the Holder has not agreed to receive it, the Holder has no duty of confidentiality or duty not to trade on the basis of that information', [6]], ['The time of execution specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company', [8]]], 'identical': [['Whenever notice is required under the Warrant, notice must be in writing', [2], [2]], ['Email notice sent to the specified email address before 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission', [2], [2]], ['Email notice sent to the specified email address on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given on the next Trading Day after transmission', [2], [2]], ['Notices to the Holder are to the Holder’s address/contact information on the Company’s books/records (or warrant register) or other address/contact information the Holder provides to the Company', [2], [2]], ['The Company must provide the Holder with prompt written notice of all actions taken pursuant to the Warrant, including reasonable detail describing the action and the reason', [3], [3]], ['Company must give written notice to the Holder upon adjustment of the Exercise Price, setting forth reasonable detail and certifying the calculation', [4], [4]], ['Company must give written notice to the Holder prior to book closing/record date with respect to dividends/distributions, options/convertible securities/rights issuances, and rights to vote for fundamental transaction/dissolution/liquidation, provided the information is made public prior to or in conjunction with the notice', [4], [4]], ['The time specified by the Holder in each Exercise Notice is definitive and may not be disputed or challenged by the Company', [5], [8]]], 'opposite': []}",0.27586206896551724,8
EnerCore,"{'unmatchedList1': [['Whenever notice is required under the Warrant, notice must be given in writing unless otherwise provided', [1]], ['If notice is delivered from within the domestic United States, it must be delivered by first-class registered or certified airmail, nationally recognized overnight express courier (postage prepaid), electronic mail, or facsimile', [1]], ['If notice is delivered from outside the United States, it must be delivered by International Federal Express, electronic mail, or facsimile', [1]], ['Notice delivered by first-class registered or certified domestic mail is deemed given three (3) Business Days after mailing', [1]], ['Notice delivered by nationally recognized overnight carrier is deemed given one (1) Business Day after mailing', [1]], ['Notice delivered by International Federal Express is deemed given two (2) Business Days after mailing', [1]], ['Notice delivered by email to each specified email address before 5:00 p.m. (New York time) on a Trading Day is deemed given on the date of transmission', [1]], ['Notice delivered by email to each specified email address on a non-Trading Day or after 5:00 p.m. (New York time) on a Trading Day is deemed given the next Trading Day after transmission', [1]], ['Notice delivered by facsimile is deemed given upon electronic confirmation of receipt', [1]], ['Notices must be delivered and addressed to the Company at the specified physical address and attention/facsimile/email details', [1]], ['Notices to the Holder must be sent to the Holder’s address/contact information delivered by the Holder to the Company or as shown on the Company’s books and records', [1]], ['Warrant provisions may be amended or waived, and the Company may take prohibited actions or omit required acts, only if the Company has obtained the Holder’s written consent', [5]]], 'unmatchedList2': [['Whenever notice is required under the Warrant, notice must be given in accordance with Section 9(f) of the Securities Purchase Agreement unless otherwise provided', [1]]], 'identical': [['Company must provide Holder with prompt written notice of all actions taken pursuant to the Warrant, including reasonable detail describing the action and the reason', [2], [2]], ['Company must give Holder written notice immediately upon any adjustment of the Exercise Price, setting forth reasonable detail and certifying the calculation', [3], [3]], ['Company must give Holder written notice at least 15 days before the Company closes its books or takes a record for the listed corporate events (dividends/distributions; issuances/sales of Options/Convertible Securities/rights; determining voting rights re Fundamental Transaction/dissolution/liquidation), provided the information is made public prior to or in conjunction with the notice', [3], [3]], ['Company must not dispute or challenge the time of exercise specified by the Holder in each Exercise Notice; that time is definitive', [4], [4]]], 'opposite': []}",0.23529411764705882,9
