Doc,Rank,Reasons
Array,1,"['Same mutual confidentiality obligation (employee and company) covering the agreement’s provisions', 'Same carve-outs: immediate family; both parties’ professional advisors; company corporate reporting/disclosure; enforcement/required by law', 'Same specific prohibition on disclosure to current/former company personnel (expanded to consultants/independent contractors, but same core concept)', 'Overall structure and qualifiers closely track the template']"
2 from Eliem,2,"['Same core obligation on you not to publicize/disclose; includes family/advisors carve-out', 'Includes enforcement/required-by-law carve-out, matching template’s (d) concept', 'Includes specific ban on disclosure to current/former employees (and independent contractors), aligning with template’s emphasis', 'Contains “Protected Rights”/unlawful-acts disclosure language similar in function to template’s agency/NLRA savings (though not identical and template also binds company)', 'Missing company-side confidentiality and company corporate reporting permission as an express carve-out']"
Biocept,2,"['Very similar to ‘2 from Eliem’ and Mirum: you-held-in-confidence structure with family/advisors and enforcement/required-by-law carve-outs', 'Includes ‘Protected Rights’ concept similar in function to template’s regulatory/NLRA carve-out', 'Includes specific prohibition on disclosure to current/former employees (plus independent contractors)', 'Adds ‘creditors’ as permitted recipients (extra carve-out)', 'Does not include mutual (company) confidentiality obligation or explicit company corporate reporting carve-out (beyond Protected Rights reference)']"
Mirum,2,"['Same core confidentiality obligation and disclosure exceptions (family; advisors; enforcement/required by law)', 'Includes ‘Protected Rights’ reference serving a similar purpose to template’s agency/NLRA savings', 'Includes specific restriction on disclosure to current/former company employees (plus independent contractors)', 'Lacks template’s mutual confidentiality (company bound) and explicit company corporate reporting/disclosure permission']"
2 from 2 (2),3,"['Matches template’s general confidentiality obligation and family/advisors + enforcement/required-by-law carve-outs', 'Includes specific non-disclosure to current/former employees/independent contractors similar to template’s emphasis', 'Adds a consulting-period exception allowing informing employees/third parties about consultant status (additional carve-out not in template)', 'Does not expressly include mutual confidentiality (company bound) or company corporate reporting/disclosure carve-out', 'No explicit agency/NLRA savings language']"
Adagio,4,"['Matches baseline confidentiality structure and family/advisor + required-by-law carve-outs', 'Includes the same detailed agency/NLRA Section 7 savings language as the template', 'Does not include enforcement carve-out explicitly (template allows enforcement-necessary disclosures)', 'Does not include mutual confidentiality (company bound) or explicit company corporate reporting/disclosure carve-out', 'Includes additional non-disparagement/cooperation provisions not part of the template confidentiality clause']"
Proteostatus,4,"['Same baseline confidentiality obligation and key family/advisor + required-by-law carve-outs', 'Includes the same agency/NLRA savings language as the template', 'Missing enforcement carve-out and the template’s mutual/company reporting carve-outs', 'Adds non-disparagement and cooperation terms (extra obligations beyond the template clause)']"
Heat Biologics,5,"['Same baseline confidentiality obligation and family/advisor + required-by-law carve-outs', 'Includes agency/NLRA Section 7 savings (though narrower than template—omits SEC)', 'Adds explicit statement that separation date and the fact of mutual separation are not confidential (extra carve-out not in template)', 'No enforcement carve-out; no mutual confidentiality/company reporting carve-out']"
Verrica,5,"['Same baseline confidentiality obligation and family/advisor + required-by-law carve-outs', 'Includes agency/NLRA Section 7 savings similar in function (no SEC reference)', 'Adds mutual non-disparagement and other unrelated provisions; confidentiality clause itself does not include template’s enforcement or company reporting carve-outs', 'No mutual confidentiality obligation covering the company with respect to the agreement']"
3 from Everbridge,5,"['Same baseline confidentiality obligation and family/advisor + required-by-law carve-outs', 'Includes agency/NLRA Section 7 savings similar in function (no SEC reference)', 'Adds non-disparagement and no-admission terms; confidentiality clause lacks template’s enforcement and company reporting carve-outs', 'No mutual confidentiality obligation binding the company']"
Newlink,6,"['Has general confidentiality obligation and limited carve-outs (family; personal advisors; required by law)', 'Does not include enforcement carve-out (template allows disclosure to enforce terms)', 'Does not include the template’s specific prohibition on disclosure to current/former employees', 'Not mutual (only you are expressly bound), though it notes company reporting rights/obligations without granting an express disclosure permission framework', 'No agency/NLRA savings language']"
