Doc,Rank,Reasons
Veru,1,"['Same party structure (Executive obligation to not disparage)', 'Same breadth of prohibited conduct (make/publish/communicate; any person/entity/public forum; at any time)', 'Same protected-rights and legal/order compliance carve-out with same limitation (compliance not to exceed what is required)', 'Same requirement to provide prompt written notice of order (recipient differs only)', 'Same covered targets (Company/businesses; employees/officers; customers/suppliers/investors/associated third parties)']"
Organicell,1,"['Nearly identical language and structure to template (Executive covenant; any time; any forum)', 'Same protected-rights and compliance-with-law/order carve-out with “not exceed that required” qualifier', 'Same prompt written notice requirement (recipient differs)', 'Same covered targets including employees/officers and customers/suppliers/investors/associated third parties', 'Adds mutual non-disparagement by Company officers/directors (extra obligation but does not reduce similarity)']"
Clearwater Analytics,2,"['Very similar prohibition and scope (make/publish/communicate; any time; public forum)', 'Same protected-rights and legal/order compliance carve-out with “not exceed required” limitation', 'Includes written notice of order requirement (adds reciprocal notice)', 'Covers Company plus broader set (subsidiaries/affiliates; many third parties)', 'Adds mutual/non-disparagement obligations by Company/leadership team (additional features beyond template)']"
Union Bankshares,2,"['Same core obligation (no defamatory/disparaging remarks; any time; any public forum)', 'Same protected-rights and compliance-with-law/order carve-out with “not exceed required” limitation', 'Includes prompt written notice requirement', 'Adds term limitation (“during or after Employment Period”) vs. template’s unrestricted “at any time”', 'Adds explicit carve-out referencing regulator communications and adds company-side non-disparagement (extra terms)']"
5E Advanced,3,"['Same structure and key phrasing (Executive covenants; any time; make/publish/communicate; public forum)', 'Same protected-rights and legal/order compliance carve-out with “not exceed required” qualifier', 'Same prompt written notice requirement (different notice recipient)', 'Targets largely match (Company Group/businesses; employees/officers; customers/suppliers/investors/other third parties)', 'Adds company obligation to direct officers/directors not to disparage Executive (additional term)']"
Vapotherm,4,"['Same core non-disparagement obligation (Executive; any time; any forum; defamatory/disparaging)', 'Same protected-rights and legal/order compliance carve-out with “not exceed required” limitation', 'Same prompt written notice requirement (recipient differs)', 'Differences in covered targets (includes directors/affiliates; omits customers/suppliers/investors list)', 'Adds explicit clarification preserving communications with government agencies (additional emphasis beyond template)']"
SolarWindow,5,"['Same overall concept and structure (Executive non-disparagement; any time; public forum)', 'Includes protected-rights and compliance-with-law/order carve-out and a written notice requirement', 'Adds qualifier “maliciously false” (changes scope vs. template’s broader “defamatory or disparaging”)', 'Targets differ (Company Group; employees/officers/directors/third parties, but not the same customer/supplier/investor listing)', 'Includes extensive additional permitted-disclosure language tied to discrimination/agency participation (more elaborate than template)']"
Blue Ridge,6,"['Same core prohibition (no defamatory/disparaging remarks; public forum; written notice of order)', 'Same protected-rights and law/order compliance carve-out with “not exceed required” limitation', 'Temporal scope limited to “during or after Employment Period” vs. template’s unconditional “at any time”', 'Different parties/targets (Bank and Affiliates; directors/employees/customers) and no suppliers/investors list', 'Uses “Person” terminology and bank-focused framing (moderate drafting differences)']"
CTI Industries,7,"['Very similar Executive covenant and broad “make/publish/communicate… at any time… public forum” language', 'Includes protected-rights and compliance-with-law/order carve-out with “not exceed required” limitation', 'Includes prompt written notice requirement (notice to Board, not Compliance Officer)', 'Adds separate carve-out for truthful testimony (additional exception)', 'Covered targets differ (includes products/services/directors/investors/affiliates; omits customers/suppliers emphasis in template)']"
Total System Services,8,"['Same core non-disparagement restriction and protected-rights/law-order carve-out', 'Applies to “Team Member” and “Company Group” with a cross-reference exception (“Except as otherwise provided in Section 10”) not present in template', 'No “not exceed that required” limitation and no written-notice-of-order requirement stated', 'Targets narrower (directors/officers/employees only; omits customers/suppliers/investors list)', 'Explicitly includes social media as public forum (detail difference, not in template)']"
3 from Total,8,"['Substantively identical to Total System Services clause (same structure and carve-outs)', 'Includes cross-reference exception (“Except as otherwise provided in Section 11”) not in template', 'No “not exceed required” limitation and no written-notice-of-order requirement stated', 'Targets narrower than template (no customers/suppliers/investors listing)', 'Includes social media reference (additional specificity)']"
Ecoark,9,"['Contains non-disparagement obligation plus protected-rights/law-order compliance carve-out', 'Notably shorter and less detailed than template (no “not exceed required” limitation; no notice requirement)', 'Different party structure (mutual non-disparagement by Company/Group)', 'Narrower target set (Company/businesses; employees/officers only; no customers/suppliers/investors/third parties list)', 'Drafting issues/typos and missing defined process details reduce similarity']"
