Doc,Obls,Score,Rank
The RealReal,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[""Employee MUST consent (irrevocably and absolutely) to any and all uses and displays by the Company and its affiliates and agents of the Employee's name/voice/likeness/image/appearance/biographical information in any media worldwide at any time during and after employment for all legitimate business purposes (Permitted Uses)."", [1], [1]], ['Employee MUST forever release and discharge the Company and its directors/officers/employees/agents/assigns/designees from any and all claims/actions/damages/losses/costs/expenses/demands/liability arising under any legal or equitable theory, at any time during and after employment, in connection with any Permitted Use.', [2], [2]]], 'opposite': []}",1.0
iGambit,"{'unmatchedList1': [], 'unmatchedList2': [['Company’s Permitted Uses do not require further consent from the Executive and do not require royalty, payment, or other compensation to the Executive.', [1]]], 'identical': [['Employee/Executive irrevocably consents to Company (and related persons) using and displaying the Employee/Executive’s name/likeness/biographical information in any media worldwide during and after employment/Employment Term for the Company’s legitimate business/commercial purposes (“Permitted Uses”).', [1], [1]], ['Employee/Executive forever releases/waives and releases the Company (and related persons) from any claims/liability arising under any legal or equitable theory in connection with any Permitted Use during and after employment/Employment Term.', [2], [2]]], 'opposite': []}",0.6666666666666666,1
Dynatronics,"{'unmatchedList1': [['Employee’s consent is stated to be irrevocable and absolute.', [1]], ['Consent extends to uses and displays by the Company’s affiliates and assigns/designees (in addition to agents).', [1, 2]], ['Released parties include the Company’s assigns and designees (in addition to directors/officers/employees/agents).', [2]], [""Release also covers 'demands' (in addition to claims/actions/damages/losses/costs/expenses/liability)."", [2]]], 'unmatchedList2': [[""Consent and release are tied to 'the period of his employment' phrasing (as opposed to 'the Employee’s employment')."", [1, 2]]], 'identical': [['Employee consents to Company and its agents using and displaying Employee’s name/voice/likeness/image/appearance/biographical information in any media worldwide during and after employment for the Company’s legitimate business purposes (Permitted Uses).', [1], [1]], ['Employee forever releases Company and specified Company-related persons from any and all claims/liability arising in connection with any Permitted Use during and after employment.', [2], [2]]], 'opposite': []}",0.2857142857142857,2
OncBioMune,"{'unmatchedList1': [['Employee irrevocably and absolutely consents to any and all uses and displays by the Company and its affiliates and agents of Employee’s name/likeness/etc. in connection with Permitted Uses worldwide at any time during and after employment for all legitimate business purposes', [1]]], 'unmatchedList2': [['Employer must use commercially reasonable efforts to obtain Employee’s consent prior to any and all uses and displays (and Employee’s consent will not be unreasonably withheld) for Permitted Uses', [1]], ['Employee’s release of Employer and specified related persons applies only upon receipt of Employee’s consent to a Permitted Use', [2]]], 'identical': [['Employee releases and discharges the Company/Employer and specified related persons from any and all claims and liabilities in connection with any Permitted Use, at any time during and after employment', [2], [2]]], 'opposite': []}",0.25,3
Singing Machine,"{'unmatchedList1': [['Consent covers uses and displays by the Company’s affiliates (in addition to the Company and its agents)', [1]], ['Release/discharge extends to Company assigns and designees (in addition to directors, officers, employees, agents)', [2]], [""Release/discharge covers claims, actions, damages, losses, costs, expenses, demands and liability (includes 'demands') arising in connection with any Permitted Use"", [2]]], 'unmatchedList2': [['Consent covers uses and displays by Company representatives and licensees (in addition to agents)', [1]], ['Permitted Uses may be exercised without further consent from the Executive and without any royalty, payment, or other compensation to the Executive', [1]], ['Release/waiver applies to claims/liability arising directly or indirectly from exercise of rights in connection with Permitted Uses', [2]], ['Agreement shall be construed in accordance with Florida law without regard to conflict-of-law principles', [3]], ['Any action or proceeding to enforce the Agreement must be brought only in a state or federal court located in Broward County', [4]], ['Parties irrevocably submit to the exclusive jurisdiction of the specified courts', [5]], ['Parties waive the defense of inconvenient forum for such action or proceeding in such venue', [5]]], 'identical': [['Employee/Executive irrevocably consents to Company use and display of their name/likeness/etc. in specified media worldwide during and after employment/Employment Term for Company legitimate business purposes (Permitted Uses)', [1], [1]], ['Employee/Executive forever releases/waives and releases Company and specified related persons from claims/liability arising under any legal or equitable theory in connection with Permitted Uses during and after employment/Employment Term', [2], [2]]], 'opposite': []}",0.16666666666666666,4
Seventy Seven Energy,"{'unmatchedList1': [['Consent is stated as “irrevocably and absolutely” (absolute consent qualifier).', [1]], ['Consent covers “including computer-generated images” (scope qualifier for images).', [1]], ['Release/discharge expressly includes “demands” among released items.', [2]], ['Release/discharge applies to a broader set including the Company’s assigns and designees.', [2]]], 'unmatchedList2': [['Permitted Uses may be exercised without further consent from the Executive.', [1]], ['Permitted Uses may be exercised without royalty, payment, or other compensation to the Executive.', [1]], ['Consent includes use/display by the Company Group’s representatives and licensees (in addition to agents).', [1, 2]], ['Release covers claims arising directly or indirectly from exercise of rights in connection with Permitted Uses (directly/indirectly qualifier).', [2]], ['This Agreement shall be construed in accordance with the laws of the State of Delaware without regard to conflicts of law principles.', [3]], ['Provided that provisions relating to equity compensation shall also be subject to applicable federal or state securities laws and stock exchange rules.', [3]]], 'identical': [['Employee/Executive irrevocably consents to the Company (Company Group) using and displaying the Employee/Executive’s name/likeness and related attributes in various media worldwide during and after employment for the Company’s legitimate business purposes (Permitted Uses).', [1], [1]], ['Employee/Executive forever releases/waives and releases the Company (Company Group) and specified related persons from claims and liabilities arising under any legal or equitable theory in connection with Permitted Uses during and after employment.', [2], [2]]], 'opposite': []}",0.16666666666666666,4
Hoth Therapeautics,"{'unmatchedList1': [['Employee’s consent to Permitted Uses is described as “absolutely.”', [1]], ['Permitted Uses include “including computer-generated images.”', [1]], ['Employee’s release/discharge covers Company “assigns and designees.”', [2]], ['Employee’s release/discharge covers “demands.”', [2]], ['Employee’s release/discharge applies to claims arising “in connection with any Permitted Use” (without stating “arising directly or indirectly” or tied to exercise of rights).', [2]]], 'unmatchedList2': [['Permitted Uses may be by Company’s “representatives and licensees” (in addition to agents).', [1, 2]], ['Permitted Uses include “other advertising and publicity.”', [1]], ['Permitted Uses are allowed without further consent from Employee.', [1]], ['Permitted Uses are allowed without royalty, payment, or other compensation to Employee.', [1]], ['Release/waiver applies to claims arising directly or indirectly from Company’s and its agents’/representatives’/licensees’ exercise of their rights in connection with Permitted Uses.', [2]]], 'identical': [['Employee irrevocably consents to Company’s use and display of Employee’s name/voice/likeness/image/appearance/biographical information in connection with media and materials worldwide during and after employment for the Company’s legitimate business purposes (Permitted Uses).', [1], [1]], ['Employee forever waives/releases Company and specified Company-related persons from any claims/liability of any kind under any legal or equitable theory arising during or after employment in connection with Permitted Uses.', [2], [2]]], 'opposite': []}",0.16666666666666666,4
Medizone,"{'unmatchedList1': [['Employee’s consent is irrevocable and absolute.', [1]], ['Consent applies at any time during and after the Employee’s employment with the Company.', [1]], ['Employee forever releases and discharges the Company and specified related persons from any and all claims/liability arising in connection with any Permitted Use at any time during and after employment.', [2]]], 'unmatchedList2': [['Consent is limited to reasonable and customary uses and displays.', [1]], ['Consent is limited to during the Employment Term / during the period of Executive’s employment by the Company.', [1]], ['Permitted Uses may be made without royalty, payment, or other compensation to Executive.', [1]]], 'identical': [['Employee/Executive consents to the Company using and displaying their name/voice/likeness/image/appearance/biographical information in connection with specified media worldwide for the Company’s legitimate business purposes (Permitted Uses).', [1], [1]]], 'opposite': []}",0.14285714285714285,5
Osiris,"{'unmatchedList1': [['Consent covers uses and displays by the Company’s affiliates', [1]], ['Consent covers uses and displays by the Company’s agents (in addition to the Company)', [1]], ['Permitted Uses include specific additional media formats (e.g., television programs, sales and marketing brochures, books, magazines, other publications, CDs, DVDs, tapes, and all other printed and electronic forms and media)', [1]], ['Consent applies throughout the world', [1]], ['Employee releases and discharges additional covered persons (assigns and designees)', [2]], ['Employee’s release covers claims/actions/damages/losses/costs/expenses/demands and liability', [2]]], 'unmatchedList2': [['Consent covers uses and displays by the Company’s representatives and licensees', [1]], ['Permitted Uses include “other advertising or publicity” (expressly)', [1]], ['Permitted Uses are permitted without further consent from the Executive', [1]], ['Permitted Uses are permitted without any royalty, payment, or other compensation to the Executive', [1]], ['Executive’s release covers claims/actions/damages/losses/costs/expenses and liability (no “demands” term stated)', [2]], ['Executive releases claims arising directly or indirectly from the exercise of rights in connection with Permitted Uses', [2]]], 'identical': [['Employee/Executive irrevocably consents to Company uses and displays of their name/voice/likeness/image/appearance/biographical information in connection with media/advertising (“Permitted Uses”) at any time during and after employment for the Company’s legitimate business purposes', [1], [1]], ['Employee/Executive forever releases/waives and releases the Company and specified related persons from any and all claims/liability arising under any legal or equitable theory in connection with Permitted Uses during and after employment', [2], [2]]], 'opposite': []}",0.14285714285714285,5
IQVIA,"{'unmatchedList1': [['Individual forever releases and discharges the Company and related persons from any claims/liability arising in connection with any Permitted Use during and after employment.', [2]], ['Company’s permitted users include Company affiliates (in addition to agents).', [1]], ['Permitted uses are for all legitimate business purposes (defined as “Permitted Uses”).', [1]]], 'unmatchedList2': [['Company’s permitted users include Company representatives and licensees (in addition to agents).', [1]], ['Uses may occur without further consent from the individual.', [1]], ['Uses may occur without any royalty, payment, or other compensation to the individual.', [1]], ['Purposes include legitimate commercial purposes (in addition to business purposes).', [1]]], 'identical': [['Individual irrevocably consents to Company use and display of the individual’s name/voice/likeness/image/appearance/biographical information in any media worldwide during and after employment for the Company’s legitimate business purposes.', [1], [1]]], 'opposite': []}",0.125,6
