Doc,Rank,Reasons
Dicerna,1,"['Notice methods, timing, and deemed delivery provisions are nearly identical to the Template.', 'Obligations to notify Holder of actions, adjustments, and record dates are the same.', 'Carve-outs and qualifications (e.g., public disclosure requirement) match the Template.', 'Addresses and parties are specified similarly.']"
Delcath,1,"['Notice methods, timing, and deemed delivery provisions are nearly identical to the Template.', 'Obligations to notify Holder of actions, adjustments, and record dates are the same.', 'Carve-outs and qualifications (e.g., public disclosure requirement) match the Template.', 'Addresses and parties are specified similarly.']"
Plug Power,1,"['Notice methods, timing, and deemed delivery provisions are nearly identical to the Template.', 'Obligations to notify Holder of actions, adjustments, and record dates are the same.', 'Carve-outs and qualifications (e.g., public disclosure requirement) match the Template.', 'Addresses and parties are specified similarly.']"
BioPharmX,2,"['Notice methods and deemed delivery are very similar to the Template, with minor differences in timing (Trading Days vs. Business Days).', 'Obligations to notify Holder of actions, adjustments, and record dates are substantially similar, but some timing and pro rata language differ slightly.', 'Carve-outs and public disclosure requirements are present and similar.', 'Addresses and parties are specified similarly.']"
Tandem Diabetes,2,"['Notice methods and deemed delivery are very similar to the Template, with minor differences (e.g., omission of facsimile for international notices).', 'Obligations to notify Holder of actions, adjustments, and record dates are substantially similar, but some details (e.g., only dividends/distributions) are less comprehensive than the Template.', 'Carve-outs and public disclosure requirements are present and similar.', 'Addresses and parties are specified similarly.']"
Leap,3,"['Notice methods and deemed delivery are similar but with some differences in structure and timing (e.g., 10 days instead of 15).', 'Obligations to notify Holder of actions, adjustments, and record dates are present, but timing and scope differ (e.g., 10 days, pro rata language).', 'Additional provisions regarding material non-public information and public disclosure are present, which are not in the Template.', 'Addresses and parties are specified similarly.']"
FuelCell,3,"['Notice methods and deemed delivery are similar but with some differences in structure and timing (e.g., 10 Trading Days instead of 15 Business Days).', 'Obligations to notify Holder of actions, adjustments, and record dates are present, but timing and scope differ.', 'Additional provisions regarding material non-public information and public disclosure are present, which are not in the Template.', 'Addresses and parties are specified similarly.']"
Gevo,3,"['Notice methods and deemed delivery are similar but with some differences in structure and timing (e.g., 10 Trading Days instead of 15 Business Days).', 'Obligations to notify Holder of actions, adjustments, and record dates are present, but timing and scope differ.', 'Additional provisions regarding material non-public information and public disclosure are present, which are not in the Template.', 'Addresses and parties are specified similarly.']"
Helios and Matheson,3,"['Notice methods and deemed delivery are similar but with some differences in structure and timing (e.g., 10 Trading Days instead of 15 Business Days).', 'Obligations to notify Holder of actions, adjustments, and record dates are present, but timing and scope differ.', 'Additional provisions regarding material non-public information and public disclosure are present, which are not in the Template.', 'Addresses and parties are specified similarly.']"
EnerCore,4,"['Notice method is by reference to another agreement (Section 9(f) of the Securities Purchase Agreement), not specified in the clause itself, which is a significant difference from the Template.', 'Obligations to notify Holder of actions, adjustments, and record dates are otherwise very similar to the Template.', 'Carve-outs and public disclosure requirements are present and similar.', 'Addresses and parties are not specified in the clause itself.']"
Axion,5,"[""Notice method is only 'in accordance with addresses exchanged by the parties,' lacking detail on methods, timing, and deemed delivery found in the Template."", 'Obligations to notify Holder of actions are present, but details on adjustments and record dates are missing or less comprehensive.', 'Carve-outs and public disclosure requirements are present but not as detailed.', 'Addresses and parties are not specified in the clause itself.']"
Carbon Energy,6,"[""Notice method is only 'in accordance with the information set forth in the Warrant Register,' lacking detail on methods, timing, and deemed delivery found in the Template."", 'Obligations to notify Holder of actions and adjustments are present, but record date and other notice requirements are missing or less comprehensive.', 'Carve-outs regarding material non-public information are present, but overall structure is less similar to the Template.', 'Addresses and parties are not specified in the clause itself.']"
